sound,rule,binomials,structure,predicted_order,binomials2,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials_3.thisRepN,trials_3.thisTrialN,trials_3.thisN,trials_3.thisIndex,key_resp_4.keys,key_resp_4.rt,rating_2.response,rating_2.rt,rating_5.response,rating_5.rt,date,frameRate,expName,session,participant
C:\Users\viola\Desktop\ENG_GHM\bepleckbeplock.wav,VQ,bepleck and beplock            beplock and bepleck,conj,L,,0,27,27,27,,,,,,,2,9.666,,,2016_Jan_19_1103,31.971980582,binomials,1,r108
C:\Users\viola\Desktop\ENG_GHM\teskerresker.wav,IS,            tesker and resker               resker and tesker                 ,conj,R,,0,28,28,7,,,,,,,1,5.285,,,2016_Jan_19_1103,31.971980582,binomials,1,r108
C:\Users\viola\Desktop\ENG_GHM\deefelheefel.wav,IS,deefel-heefel               heefel-deefel,red,R,,0,29,29,3,,,,,,,5,5.215,,,2016_Jan_19_1103,31.971980582,binomials,1,r108
C:\Users\viola\Desktop\ENG_GHM\rebamrebat.wav,FS,rebam-rebat               rebat-rebam,red,R,,0,30,30,13,,,,,,,6,4.663,,,2016_Jan_19_1103,31.971980582,binomials,1,r108
C:\Users\viola\Desktop\ENG_GHM\lomickgomick.wav,IS,lomick-gomick            gomick-lomick,red,L,,0,31,31,4,,,,,,,6,4.057,,,2016_Jan_19_1103,31.971980582,binomials,1,r108
C:\Users\viola\Desktop\ENG_GHM\rigsterragster.wav,VQ,rigster and ragster                ragster and rigster,conj,L,,0,32,32,28,,,,,,,5,4.351,,,2016_Jan_19_1103,31.971980582,binomials,1,r108
C:\Users\viola\Desktop\ENG_GHM\resteacresteact.wav,FCN,resteac and resteact            resteact and resteac,conj,L,,0,33,33,58,,,,,,,4,5.841,,,2016_Jan_19_1103,31.971980582,binomials,1,r108
C:\Users\viola\Desktop\ENG_GHM\ristyreasty.wav,VL,risty-reasty                 reasty-risty,red,L,,0,34,34,34,,,,,,,3,10.585,,,2016_Jan_19_1103,31.971980582,binomials,1,r108
C:\Users\viola\Desktop\ENG_GHM\pleefterplifter.wav,VL,pleefter and plifter                 plifter and pleefter,conj,R,,0,35,35,36,,,,,,,5,9.054,,,2016_Jan_19_1103,31.971980582,binomials,1,r108
C:\Users\viola\Desktop\ENG_GHM\yoglitstoglits.wav,IS,yoglits and toglits                toglits and yoglits,conj,L,,0,36,36,8,,,,,,,4,10.84,,,2016_Jan_19_1103,31.971980582,binomials,1,r108
C:\Users\viola\Desktop\ENG_GHM\sponersoner.wav,ICN,sponer-soner              soner-sponer,red,R,,0,37,37,41,,,,,,,4,5.602,,,2016_Jan_19_1103,31.971980582,binomials,1,r108
C:\Users\viola\Desktop\ENG_GHM\fullsyfoolsy.wav,VL,fullsy and foolsy                    foolsy and fullsy,conj,L,,0,38,38,37,,,,,,,5,9.571,,,2016_Jan_19_1103,31.971980582,binomials,1,r108
C:\Users\viola\Desktop\ENG_GHM\hestamhestad.wav,FS,hestam and hestad            hestad and hestam,conj,R,,0,39,39,17,,,,,,,5,6.461,,,2016_Jan_19_1103,31.971980582,binomials,1,r108
C:\Users\viola\Desktop\ENG_GHM\fibsterfeabster.wav,VL,fibster and feabster               feabster and fibster,conj,L,,0,40,40,38,,,,,,,4,5.622,,,2016_Jan_19_1103,31.971980582,binomials,1,r108
C:\Users\viola\Desktop\ENG_GHM\kizzykrizzy.wav,ICN,kizzy-krizzy               krizzy-kizzy,red,L,,0,41,41,40,,,,,,,5,4.629,,,2016_Jan_19_1103,31.971980582,binomials,1,r108
C:\Users\viola\Desktop\ENG_GHM\bickeshbickel.wav,FS,bickesh-bickell           bickell-bickesh,red,L,,0,42,42,10,,,,,,,2,7.229,,,2016_Jan_19_1103,31.971980582,binomials,1,r108
C:\Users\viola\Desktop\ENG_GHM\fedooptfedoop.wav,FCN,fedoopt-fedoop           fedoop-fedoopt,red,R,,0,43,43,53,,,,,,,5,6.881,,,2016_Jan_19_1103,31.971980582,binomials,1,r108
C:\Users\viola\Desktop\ENG_GHM\lantiesvanties.wav,IS,lanties and vanties               vanties and lanties,conj,L,,0,44,44,6,,,,,,,5,5.85,,,2016_Jan_19_1103,31.971980582,binomials,1,r108
C:\Users\viola\Desktop\ENG_GHM\plengsterpengster.wav,ICN,plenster and penster            penster and plenster,conj,R,,0,45,45,47,,,,,,,2,7.965,,,2016_Jan_19_1103,31.971980582,binomials,1,r108
C:\Users\viola\Desktop\ENG_GHM\spoolkyspullky.wav,VL,spoolky and spullky              spullky and spoolky,conj,R,,0,46,46,35,,,,,,,1,6.617,,,2016_Jan_19_1103,31.971980582,binomials,1,r108
C:\Users\viola\Desktop\ENG_GHM\clazzipclizzip.wav,VQ,clazzip-clizzip               clizzip-clazzip,red,R,,0,47,47,22,,,,,,,2,10.468,,,2016_Jan_19_1103,31.971980582,binomials,1,r108
C:\Users\viola\Desktop\ENG_GHM\lishooclishoon.wav,FS,lishooc-lishoon           lishoon-lishooc,red,L,,0,48,48,12,,,,,,,1,6.227,,,2016_Jan_19_1103,31.971980582,binomials,1,r108
C:\Users\viola\Desktop\ENG_GHM\spettysetty.wav,ICN,spetty and setty                  setty and spetty,conj,R,,0,49,49,45,,,,,,,5,5.044,,,2016_Jan_19_1103,31.971980582,binomials,1,r108
C:\Users\viola\Desktop\ENG_GHM\cleesty-clisty.wav,VL,cleesty-clisty              clisty-cleesty,red,R,,0,50,50,32,,,,,,,2,5.467,,,2016_Jan_19_1103,31.971980582,binomials,1,r108
C:\Users\viola\Desktop\ENG_GHM\beetowbreetow.wav,ICN,beetow and breetow             breetow and beetow,conj,L,,0,51,51,48,,,,,,,5,8.634,,,2016_Jan_19_1103,31.971980582,binomials,1,r108
C:\Users\viola\Desktop\ENG_GHM\lisketlasket.wav,VQ,lisket-lasket                  lasket-lisket,red,L,,0,52,52,20,,,,,,,5,6.005,,,2016_Jan_19_1103,31.971980582,binomials,1,r108
C:\Users\viola\Desktop\ENG_GHM\bockelbeckel.wav,VQ,bockel-beckel                beckel-bockel,red,R,,0,53,53,21,,,,,,,2,5.249,,,2016_Jan_19_1103,31.971980582,binomials,1,r108
C:\Users\viola\Desktop\ENG_GHM\seroapseroapt.wav,FCN,seroap-seroapt          seroapt-seroap,red,L,,0,54,54,50,,,,,,,3,8.795,,,2016_Jan_19_1103,31.971980582,binomials,1,r108
C:\Users\viola\Desktop\ENG_GHM\guskingluskin.wav,ICN,guskin-gluskin            gluskin-guskin,red,L,,0,55,55,42,,,,,,,4,7.371,,,2016_Jan_19_1103,31.971980582,binomials,1,r108
C:\Users\viola\Desktop\ENG_GHM\neasterheaster.wav,IS,neaster and heaster             heaster and neaster,conj,R,,0,56,56,5,,,,,,,4,9.429,,,2016_Jan_19_1103,31.971980582,binomials,1,r108
C:\Users\viola\Desktop\ENG_GHM\deriptderip.wav,FCN,deript and derip                   derip and deript,conj,R,,0,57,57,57,,,,,,,4,6.093,,,2016_Jan_19_1103,31.971980582,binomials,1,r108
C:\Users\viola\Desktop\ENG_GHM\rizeptrizep.wav,FCN,rizept and rizep                   rizep and rizept,conj,R,,0,58,58,55,,,,,,,5,4.808,,,2016_Jan_19_1103,31.971980582,binomials,1,r108
C:\Users\viola\Desktop\ENG_GHM\linooctlinooc.wav,FCN,linooct and linooc                linooc and linooct,conj,R,,0,59,59,59,,,,,,,5,6.513,,,2016_Jan_19_1103,31.971980582,binomials,1,r108
C:\Users\viola\Desktop\ENG_GHM\fiplyfaply.wav,IS/Q,,red,R,fiply-faply                       fiply-biply,,,,,0,0,0,10,,,,,5,8.336,2016_Jan_19_1103,31.971980582,binomials,1,r108
C:\Users\viola\Desktop\ENG_GHM\secklesteckle.wav,IS/ICN,,red,R,seckil-steckil               seckil-beckil,,,,,0,1,1,32,,,,,4,5.975,2016_Jan_19_1103,31.971980582,binomials,1,r108
C:\Users\viola\Desktop\ENG_GHM\teckletackle.wav,ICN/Q,,red,L,teckil-tockil                   teckil-treckil,,,,,0,2,2,23,,,,,5,5.03,2016_Jan_19_1103,31.971980582,binomials,1,r108
C:\Users\viola\Desktop\ENG_GHM\vickervooker.wav,Q/L,,conj,L,vicker and voocker                 vicker and veecker,,,,,0,3,3,5,,,,,2,4.904,2016_Jan_19_1103,31.971980582,binomials,1,r108
C:\Users\viola\Desktop\ENG_GHM\geskyglesky.wav,ICN/Q,,conj,R,gesky and glesky                    gesky and gosky,,,,,0,4,4,29,,,,,1,6.501,2016_Jan_19_1103,31.971980582,binomials,1,r108
C:\Users\viola\Desktop\ENG_GHM\fitlenfritlen.wav,IS/ICN,,conj,R,fitlen and fritlen                        fitlen and kitlen   ,,,,,0,5,5,38,,,,,4,5.385,2016_Jan_19_1103,31.971980582,binomials,1,r108
C:\Users\viola\Desktop\ENG_GHM\liknepleeknep.wav,Q/L,,red,R,liknep-leeknep             liknep-looknep,,,,,0,6,6,2,,,,,5,8.785,2016_Jan_19_1103,31.971980582,binomials,1,r108
C:\Users\viola\Desktop\ENG_GHM\kerishklerish.wav,ICN/Q,,red,R,kerish-klerish                kerish-korish,,,,,0,7,7,21,,,,,1,5.619,2016_Jan_19_1103,31.971980582,binomials,1,r108
C:\Users\viola\Desktop\ENG_GHM\nicketnucket.wav,Q/L,,red,L,nicket-nooket              nicket-neeket,,,,,0,8,8,3,,,,,4,5.371,2016_Jan_19_1103,31.971980582,binomials,1,r108
C:\Users\viola\Desktop\ENG_GHM\sitlenpitlen.wav,IS/Q,,conj,L,sitlen and pitlen                      sitlen and satlen,,,,,0,9,9,16,,,,,4,5.244,2016_Jan_19_1103,31.971980582,binomials,1,r108
C:\Users\viola\Desktop\ENG_GHM\filgerfeelger.wav,Q/L,,conj,R,filger and feelger                    filger and fulger,,,,,0,10,10,8,,,,,6,6.122,2016_Jan_19_1103,31.971980582,binomials,1,r108
C:\Users\viola\Desktop\ENG_GHM\seskykesky.wav,IS/ICN,,conj,L,sesky and kesky                    sesky and slesky ,,,,,0,11,11,35,,,,,5,8.756,2016_Jan_19_1103,31.971980582,binomials,1,r108
