sound,rule,binomials,structure,predicted_order,binomials2,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials_3.thisRepN,trials_3.thisTrialN,trials_3.thisN,trials_3.thisIndex,key_resp_4.keys,key_resp_4.rt,rating_2.response,rating_2.rt,rating_5.response,rating_5.rt,date,frameRate,expName,session,participant
,,,,,,,,,,,,,,space,14.0126286688,,,,,2016_Jan_21_1011,32.0168795348,binomials,1,r109
C:\Users\viola\Desktop\ENG_GHM\feckinfreckin.wav,ICN,feckin-freckin              freckin-feckin,red,L,,0,0,0,44,,,,,,,5,14.164,,,2016_Jan_21_1011,32.0168795348,binomials,1,r109
C:\Users\viola\Desktop\ENG_GHM\teskerresker.wav,IS,            tesker and resker               resker and tesker                 ,conj,R,,0,1,1,7,,,,,,,1,8.222,,,2016_Jan_21_1011,32.0168795348,binomials,1,r109
C:\Users\viola\Desktop\ENG_GHM\poolsterpullster.wav,VL,poolster-pullster          pullster-poolster,red,R,,0,2,2,31,,,,,,,2,12.202,,,2016_Jan_21_1011,32.0168795348,binomials,1,r109
C:\Users\viola\Desktop\ENG_GHM\repooctrepooc.wav,FCN,repooct-repooc          repooc-repooct,red,R,,0,3,3,51,,,,,,,1,9.025,,,2016_Jan_21_1011,32.0168795348,binomials,1,r109
C:\Users\viola\Desktop\ENG_GHM\rigsterragster.wav,VQ,rigster and ragster                ragster and rigster,conj,L,,0,4,4,28,,,,,,,2,13.158,,,2016_Jan_21_1011,32.0168795348,binomials,1,r109
C:\Users\viola\Desktop\ENG_GHM\rebamrebat.wav,FS,rebam-rebat               rebat-rebam,red,R,,0,5,5,13,,,,,,,1,7.982,,,2016_Jan_21_1011,32.0168795348,binomials,1,r109
C:\Users\viola\Desktop\ENG_GHM\stockelsteckel.wav,VQ,stockel and steckel             steckel and stockel,conj,R,,0,6,6,25,,,,,,,5,12.734,,,2016_Jan_21_1011,32.0168795348,binomials,1,r109
C:\Users\viola\Desktop\ENG_GHM\sladvinslidvin.wav,VQ,sladvin and slidvin                slidvin and sladvin,conj,R,,0,7,7,26,,,,,,,2,15.367,,,2016_Jan_21_1011,32.0168795348,binomials,1,r109
C:\Users\viola\Desktop\ENG_GHM\plibsterpibster.wav,ICN,plibster and pibster              pibster and plibster,conj,R,,0,8,8,49,,,,,,,5,4.88,,,2016_Jan_21_1011,32.0168795348,binomials,1,r109
