sound,rule,binomials,structure,predicted_order,binomials2,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials_3.thisRepN,trials_3.thisTrialN,trials_3.thisN,trials_3.thisIndex,key_resp_4.keys,key_resp_4.rt,rating_2.response,rating_2.rt,rating_5.response,rating_5.rt,date,frameRate,expName,session,participant
,,,,,,,,,,,,,,space,10.592669557,,,,,2016_Jan_14_1017,31.9865437373,binomials,1,r106
C:\Users\viola\Desktop\ENG_GHM\booteecboteect.wav,FCN,boteec and boteect              boteect and boteec,conj,L,,0,0,0,56,,,,,,,2,15.692,,,2016_Jan_14_1017,31.9865437373,binomials,1,r106
C:\Users\viola\Desktop\ENG_GHM\rebamrebat.wav,FS,rebam-rebat               rebat-rebam,red,R,,0,1,1,13,,,,,,,5,16.404,,,2016_Jan_14_1017,31.9865437373,binomials,1,r106
C:\Users\viola\Desktop\ENG_GHM\feckinfreckin.wav,ICN,feckin-freckin              freckin-feckin,red,L,,0,2,2,44,,,,,,,3,12.529,,,2016_Jan_14_1017,31.9865437373,binomials,1,r106
C:\Users\viola\Desktop\ENG_GHM\restellresteg.wav,FS,restell-resteg              resteg-restell,red,R,,0,3,3,11,,,,,,,2,11.718,,,2016_Jan_14_1017,31.9865437373,binomials,1,r106
C:\Users\viola\Desktop\ENG_GHM\bepleckbeplock.wav,VQ,bepleck and beplock            beplock and bepleck,conj,L,,0,4,4,27,,,,,,,2,12.442,,,2016_Jan_14_1017,31.9865437373,binomials,1,r106
C:\Users\viola\Desktop\ENG_GHM\croosetcooset.wav,ICN,crooset-cooset           cooset-crooset,red,R,,0,5,5,43,,,,,,,5,10.983,,,2016_Jan_14_1017,31.9865437373,binomials,1,r106
C:\Users\viola\Desktop\ENG_GHM\revidrevad.wav,VQ,revid-revad                     revad-revid,red,L,,0,6,6,24,,,,,,,4,10.924,,,2016_Jan_14_1017,31.9865437373,binomials,1,r106
C:\Users\viola\Desktop\ENG_GHM\sladvinslidvin.wav,VQ,sladvin and slidvin                slidvin and sladvin,conj,R,,0,7,7,26,,,,,,,5,24.735,,,2016_Jan_14_1017,31.9865437373,binomials,1,r106
C:\Users\viola\Desktop\ENG_GHM\poolsterpullster.wav,VL,poolster-pullster          pullster-poolster,red,R,,0,8,8,31,,,,,,,3,12.178,,,2016_Jan_14_1017,31.9865437373,binomials,1,r106
C:\Users\viola\Desktop\ENG_GHM\clazzipclizzip.wav,VQ,clazzip-clizzip               clizzip-clazzip,red,R,,0,9,9,22,,,,,,,6,10.155,,,2016_Jan_14_1017,31.9865437373,binomials,1,r106
C:\Users\viola\Desktop\ENG_GHM\lisketlasket.wav,VQ,lisket-lasket                  lasket-lisket,red,L,,0,10,10,20,,,,,,,1,10.561,,,2016_Jan_14_1017,31.9865437373,binomials,1,r106
C:\Users\viola\Desktop\ENG_GHM\deckeldockel.wav,VQ,deckel-dockel                dockel-deckel,red,L,,0,11,11,23,,,,,,,2,9.528,,,2016_Jan_14_1017,31.9865437373,binomials,1,r106
C:\Users\viola\Desktop\ENG_GHM\neasterheaster.wav,IS,neaster and heaster             heaster and neaster,conj,R,,0,12,12,5,,,,,,,1,10.918,,,2016_Jan_14_1017,31.9865437373,binomials,1,r106
C:\Users\viola\Desktop\ENG_GHM\sponersoner.wav,ICN,sponer-soner              soner-sponer,red,R,,0,13,13,41,,,,,,,5,11.362,,,2016_Jan_14_1017,31.9865437373,binomials,1,r106
C:\Users\viola\Desktop\ENG_GHM\lantiesvanties.wav,IS,lanties and vanties               vanties and lanties,conj,L,,0,14,14,6,,,,,,,5,11.627,,,2016_Jan_14_1017,31.9865437373,binomials,1,r106
C:\Users\viola\Desktop\ENG_GHM\hestamhestad.wav,FS,hestam and hestad            hestad and hestam,conj,R,,0,15,15,17,,,,,,,4,20.263,,,2016_Jan_14_1017,31.9865437373,binomials,1,r106
C:\Users\viola\Desktop\ENG_GHM\pleefterplifter.wav,VL,pleefter and plifter                 plifter and pleefter,conj,R,,0,16,16,36,,,,,,,4,15.853,,,2016_Jan_14_1017,31.9865437373,binomials,1,r106
C:\Users\viola\Desktop\ENG_GHM\sigglestiggle.wav,ICN,siggle and stiggle                stiggle and siggle,conj,L,,0,17,17,46,,,,,,,2,10.864,,,2016_Jan_14_1017,31.9865437373,binomials,1,r106
