sound,rule,binomials,structure,predicted_order,binomials2,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials_3.thisRepN,trials_3.thisTrialN,trials_3.thisN,trials_3.thisIndex,key_resp_4.keys,key_resp_4.rt,rating_2.response,rating_2.rt,rating_5.response,rating_5.rt,date,frameRate,expName,session,participant
,,,,,,,,,,,,,,space,14.8192971729,,,,,2016_Jan_15_1318,31.9616377295,binomials,1,r107
C:\Users\viola\Desktop\ENG_GHM\sigglestiggle.wav,ICN,siggle and stiggle                stiggle and siggle,conj,L,,0,0,0,46,,,,,,,5,10.945,,,2016_Jan_15_1318,31.9616377295,binomials,1,r107
C:\Users\viola\Desktop\ENG_GHM\bepleckbeplock.wav,VQ,bepleck and beplock            beplock and bepleck,conj,L,,0,1,1,27,,,,,,,2,19.909,,,2016_Jan_15_1318,31.9616377295,binomials,1,r107
C:\Users\viola\Desktop\ENG_GHM\biscowwiscow.wav,IS,biscow and wiscow              wiscow and biscow,conj,R,,0,2,2,9,,,,,,,3,19.208,,,2016_Jan_15_1318,31.9616377295,binomials,1,r107
C:\Users\viola\Desktop\ENG_GHM\linooctlinooc.wav,FCN,linooct and linooc                linooc and linooct,conj,R,,0,3,3,59,,,,,,,1,10.428,,,2016_Jan_15_1318,31.9616377295,binomials,1,r107
C:\Users\viola\Desktop\ENG_GHM\beetowbreetow.wav,ICN,beetow and breetow             breetow and beetow,conj,L,,0,4,4,48,,,,,,,2,24.577,,,2016_Jan_15_1318,31.9616377295,binomials,1,r107
C:\Users\viola\Desktop\ENG_GHM\befoolpbefulp.wav,VL,befoolp and befulp                 befulp and befoolp,conj,R,,0,5,5,39,,,,,,,1,10.555,,,2016_Jan_15_1318,31.9616377295,binomials,1,r107
C:\Users\viola\Desktop\ENG_GHM\pichoogpichoon.wav,FS,pichoog and pichoon          pichoon and pichoog,conj,L,,0,6,6,16,,,,,,,6,19.495,,,2016_Jan_15_1318,31.9616377295,binomials,1,r107
C:\Users\viola\Desktop\ENG_GHM\fibsterfeabster.wav,VL,fibster and feabster               feabster and fibster,conj,L,,0,7,7,38,,,,,,,4,19.931,,,2016_Jan_15_1318,31.9616377295,binomials,1,r107
C:\Users\viola\Desktop\ENG_GHM\sladvinslidvin.wav,VQ,sladvin and slidvin                slidvin and sladvin,conj,R,,0,8,8,26,,,,,,,2,21.496,,,2016_Jan_15_1318,31.9616377295,binomials,1,r107
C:\Users\viola\Desktop\ENG_GHM\booteecboteect.wav,FCN,boteec and boteect              boteect and boteec,conj,L,,0,9,9,56,,,,,,,5,11.554,,,2016_Jan_15_1318,31.9616377295,binomials,1,r107
C:\Users\viola\Desktop\ENG_GHM\resteacresteact.wav,FCN,resteac and resteact            resteact and resteac,conj,L,,0,10,10,58,,,,,,,3,11.651,,,2016_Jan_15_1318,31.9616377295,binomials,1,r107
