sound,rule,binomials,structure,predicted_order,binomials2,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials_3.thisRepN,trials_3.thisTrialN,trials_3.thisN,trials_3.thisIndex,key_resp_4.keys,key_resp_4.rt,rating_2.response,rating_2.rt,rating_5.response,rating_5.rt,date,frameRate,expName,session,participant
C:\Users\viola\Desktop\ENG_GHM\plengsterpengster.wav,ICN,plenster and penster            penster and plenster,conj,R,,0,44,44,47,,,,,,,1,8.595,,,2016_Mar_04_1400,32.0424680542,binomials,1,r119
C:\Users\viola\Desktop\ENG_GHM\linooctlinooc.wav,FCN,linooct and linooc                linooc and linooct,conj,R,,0,45,45,59,,,,,,,6,8.232,,,2016_Mar_04_1400,32.0424680542,binomials,1,r119
C:\Users\viola\Desktop\ENG_GHM\lishooclishoon.wav,FS,lishooc-lishoon           lishoon-lishooc,red,L,,0,46,46,12,,,,,,,4,10.479,,,2016_Mar_04_1400,32.0424680542,binomials,1,r119
C:\Users\viola\Desktop\ENG_GHM\revecrevect.wav,FCN,revec-revect               revect-revec,red,L,,0,47,47,54,,,,,,,1,7.543,,,2016_Mar_04_1400,32.0424680542,binomials,1,r119
C:\Users\viola\Desktop\ENG_GHM\horketnorket.wav,IS,horkit-norkit                norkit-horkit,red,L,,0,48,48,2,,,,,,,3,12.639,,,2016_Mar_04_1400,32.0424680542,binomials,1,r119
C:\Users\viola\Desktop\ENG_GHM\neasterheaster.wav,IS,neaster and heaster             heaster and neaster,conj,R,,0,49,49,5,,,,,,,2,13.349,,,2016_Mar_04_1400,32.0424680542,binomials,1,r119
C:\Users\viola\Desktop\ENG_GHM\lantiesvanties.wav,IS,lanties and vanties               vanties and lanties,conj,L,,0,50,50,6,,,,,,,4,10.236,,,2016_Mar_04_1400,32.0424680542,binomials,1,r119
C:\Users\viola\Desktop\ENG_GHM\befoolpbefulp.wav,VL,befoolp and befulp                 befulp and befoolp,conj,R,,0,51,51,39,,,,,,,1,8.901,,,2016_Mar_04_1400,32.0424680542,binomials,1,r119
C:\Users\viola\Desktop\ENG_GHM\hestamhestad.wav,FS,hestam and hestad            hestad and hestam,conj,R,,0,52,52,17,,,,,,,2,10.142,,,2016_Mar_04_1400,32.0424680542,binomials,1,r119
C:\Users\viola\Desktop\ENG_GHM\teskerresker.wav,IS,            tesker and resker               resker and tesker                 ,conj,R,,0,53,53,7,,,,,,,3,8.647,,,2016_Mar_04_1400,32.0424680542,binomials,1,r119
C:\Users\viola\Desktop\ENG_GHM\seroapseroapt.wav,FCN,seroap-seroapt          seroapt-seroap,red,L,,0,54,54,50,,,,,,,1,8.46,,,2016_Mar_04_1400,32.0424680542,binomials,1,r119
C:\Users\viola\Desktop\ENG_GHM\fullsyfoolsy.wav,VL,fullsy and foolsy                    foolsy and fullsy,conj,L,,0,55,55,37,,,,,,,2,14.142,,,2016_Mar_04_1400,32.0424680542,binomials,1,r119
C:\Users\viola\Desktop\ENG_GHM\feckinfreckin.wav,ICN,feckin-freckin              freckin-feckin,red,L,,0,56,56,44,,,,,,,1,7.387,,,2016_Mar_04_1400,32.0424680542,binomials,1,r119
C:\Users\viola\Desktop\ENG_GHM\beetowbreetow.wav,ICN,beetow and breetow             breetow and beetow,conj,L,,0,57,57,48,,,,,,,2,7.79,,,2016_Mar_04_1400,32.0424680542,binomials,1,r119
C:\Users\viola\Desktop\ENG_GHM\biscowwiscow.wav,IS,biscow and wiscow              wiscow and biscow,conj,R,,0,58,58,9,,,,,,,2,7.779,,,2016_Mar_04_1400,32.0424680542,binomials,1,r119
