sound,rule,binomials,structure,predicted_order,binomials2,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials_3.thisRepN,trials_3.thisTrialN,trials_3.thisN,trials_3.thisIndex,key_resp_4.keys,key_resp_4.rt,rating_2.response,rating_2.rt,rating_5.response,rating_5.rt,date,frameRate,expName,session,participant
,,,,,,,,,,,,,,space,10.9403932228,,,,,2016_Jan_08_1322,31.929334375,binomials,1,r104
C:\Users\viola\Desktop\ENG_GHM\rigsterragster.wav,VQ,rigster and ragster                ragster and rigster,conj,L,,0,0,0,28,,,,,,,4,9.37,,,2016_Jan_08_1322,31.929334375,binomials,1,r104
C:\Users\viola\Desktop\ENG_GHM\horketnorket.wav,IS,horkit-norkit                norkit-horkit,red,L,,0,1,1,2,,,,,,,4,8.516,,,2016_Jan_08_1322,31.929334375,binomials,1,r104
C:\Users\viola\Desktop\ENG_GHM\fedooptfedoop.wav,FCN,fedoopt-fedoop           fedoop-fedoopt,red,R,,0,2,2,53,,,,,,,4,9.907,,,2016_Jan_08_1322,31.929334375,binomials,1,r104
C:\Users\viola\Desktop\ENG_GHM\lantiesvanties.wav,IS,lanties and vanties               vanties and lanties,conj,L,,0,3,3,6,,,,,,,2,5.408,,,2016_Jan_08_1322,31.929334375,binomials,1,r104
C:\Users\viola\Desktop\ENG_GHM\bickeshbickel.wav,FS,bickesh-bickell           bickell-bickesh,red,L,,0,4,4,10,,,,,,,3,6.029,,,2016_Jan_08_1322,31.929334375,binomials,1,r104
C:\Users\viola\Desktop\ENG_GHM\poolsterpullster.wav,VL,poolster-pullster          pullster-poolster,red,R,,0,5,5,31,,,,,,,2,6.725,,,2016_Jan_08_1322,31.929334375,binomials,1,r104
C:\Users\viola\Desktop\ENG_GHM\vertylerty.wav,IS,verty-lerty                   lerty-verty,red,R,,0,6,6,1,,,,,,,3,10.441,,,2016_Jan_08_1322,31.929334375,binomials,1,r104
C:\Users\viola\Desktop\ENG_GHM\sladvinslidvin.wav,VQ,sladvin and slidvin                slidvin and sladvin,conj,R,,0,7,7,26,,,,,,,4,4.765,,,2016_Jan_08_1322,31.929334375,binomials,1,r104
C:\Users\viola\Desktop\ENG_GHM\rizeptrizep.wav,FCN,rizept and rizep                   rizep and rizept,conj,R,,0,8,8,55,,,,,,,2,7.62,,,2016_Jan_08_1322,31.929334375,binomials,1,r104
