sound,rule,binomials,structure,predicted_order,binomials2,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials_3.thisRepN,trials_3.thisTrialN,trials_3.thisN,trials_3.thisIndex,key_resp_4.keys,key_resp_4.rt,rating_2.response,rating_2.rt,rating_5.response,rating_5.rt,date,frameRate,expName,session,participant
C:\Users\viola\Desktop\ENG_GHM\redoolredoob.wav,FS,redool and redoob       redoob and redool,conj,R,,0,27,27,15,,,,,,,6,6.485,,,2015_Dec_30_1312,32.0139831584,binomials,1,r103
C:\Users\viola\Desktop\ENG_GHM\clazzipclizzip.wav,VQ,clazzip-clizzip               clizzip-clazzip,red,R,,0,28,28,22,,,,,,,4,7.277,,,2015_Dec_30_1312,32.0139831584,binomials,1,r103
C:\Users\viola\Desktop\ENG_GHM\fibsterfeabster.wav,VL,fibster and feabster               feabster and fibster,conj,L,,0,29,29,38,,,,,,,1,5.398,,,2015_Dec_30_1312,32.0139831584,binomials,1,r103
C:\Users\viola\Desktop\ENG_GHM\miscottmiscon.wav,FS,miscott-miscon          miscon-miscott,red,L,,0,30,30,14,,,,,,,2,8.917,,,2015_Dec_30_1312,32.0139831584,binomials,1,r103
C:\Users\viola\Desktop\ENG_GHM\teskerresker.wav,IS,            tesker and resker               resker and tesker                 ,conj,R,,0,31,31,7,,,,,,,5,9.087,,,2015_Dec_30_1312,32.0139831584,binomials,1,r103
C:\Users\viola\Desktop\ENG_GHM\linooctlinooc.wav,FCN,linooct and linooc                linooc and linooct,conj,R,,0,32,32,59,,,,,,,1,9.773,,,2015_Dec_30_1312,32.0139831584,binomials,1,r103
C:\Users\viola\Desktop\ENG_GHM\pleefterplifter.wav,VL,pleefter and plifter                 plifter and pleefter,conj,R,,0,33,33,36,,,,,,,6,9.628,,,2015_Dec_30_1312,32.0139831584,binomials,1,r103
C:\Users\viola\Desktop\ENG_GHM\restellresteg.wav,FS,restell-resteg              resteg-restell,red,R,,0,34,34,11,,,,,,,6,10.705,,,2015_Dec_30_1312,32.0139831584,binomials,1,r103
C:\Users\viola\Desktop\ENG_GHM\bockelbeckel.wav,VQ,bockel-beckel                beckel-bockel,red,R,,0,35,35,21,,,,,,,5,8.378,,,2015_Dec_30_1312,32.0139831584,binomials,1,r103
C:\Users\viola\Desktop\ENG_GHM\lishooclishoon.wav,FS,lishooc-lishoon           lishoon-lishooc,red,L,,0,36,36,12,,,,,,,3,9.2,,,2015_Dec_30_1312,32.0139831584,binomials,1,r103
C:\Users\viola\Desktop\ENG_GHM\deriptderip.wav,FCN,deript and derip                   derip and deript,conj,R,,0,37,37,57,,,,,,,1,5.549,,,2015_Dec_30_1312,32.0139831584,binomials,1,r103
C:\Users\viola\Desktop\ENG_GHM\befoolpbefulp.wav,VL,befoolp and befulp                 befulp and befoolp,conj,R,,0,38,38,39,,,,,,,1,10.585,,,2015_Dec_30_1312,32.0139831584,binomials,1,r103
C:\Users\viola\Desktop\ENG_GHM\loskylesky.wav,VQ,losky and lesky                   lesky and losky,conj,R,,0,39,39,29,,,,,,,3,9.13,,,2015_Dec_30_1312,32.0139831584,binomials,1,r103
C:\Users\viola\Desktop\ENG_GHM\pichoogpichoon.wav,FS,pichoog and pichoon          pichoon and pichoog,conj,L,,0,40,40,16,,,,,,,4,11.684,,,2015_Dec_30_1312,32.0139831584,binomials,1,r103
C:\Users\viola\Desktop\ENG_GHM\plengsterpengster.wav,ICN,plenster and penster            penster and plenster,conj,R,,0,41,41,47,,,,,,,5,8.624,,,2015_Dec_30_1312,32.0139831584,binomials,1,r103
C:\Users\viola\Desktop\ENG_GHM\neasterheaster.wav,IS,neaster and heaster             heaster and neaster,conj,R,,0,42,42,5,,,,,,,2,11.091,,,2015_Dec_30_1312,32.0139831584,binomials,1,r103
C:\Users\viola\Desktop\ENG_GHM\lomickgomick.wav,IS,lomick-gomick            gomick-lomick,red,L,,0,43,43,4,,,,,,,2,13.064,,,2015_Dec_30_1312,32.0139831584,binomials,1,r103
C:\Users\viola\Desktop\ENG_GHM\repooctrepooc.wav,FCN,repooct-repooc          repooc-repooct,red,R,,0,44,44,51,,,,,,,2,11.689,,,2015_Dec_30_1312,32.0139831584,binomials,1,r103
C:\Users\viola\Desktop\ENG_GHM\seroapseroapt.wav,FCN,seroap-seroapt          seroapt-seroap,red,L,,0,45,45,50,,,,,,,6,10.267,,,2015_Dec_30_1312,32.0139831584,binomials,1,r103
C:\Users\viola\Desktop\ENG_GHM\ristyreasty.wav,VL,risty-reasty                 reasty-risty,red,L,,0,46,46,34,,,,,,,4,16.798,,,2015_Dec_30_1312,32.0139831584,binomials,1,r103
C:\Users\viola\Desktop\ENG_GHM\sponersoner.wav,ICN,sponer-soner              soner-sponer,red,R,,0,47,47,41,,,,,,,5,9.208,,,2015_Dec_30_1312,32.0139831584,binomials,1,r103
C:\Users\viola\Desktop\ENG_GHM\fedooptfedoop.wav,FCN,fedoopt-fedoop           fedoop-fedoopt,red,R,,0,48,48,53,,,,,,,1,10.051,,,2015_Dec_30_1312,32.0139831584,binomials,1,r103
C:\Users\viola\Desktop\ENG_GHM\rebamrebat.wav,FS,rebam-rebat               rebat-rebam,red,R,,0,49,49,13,,,,,,,1,10.128,,,2015_Dec_30_1312,32.0139831584,binomials,1,r103
C:\Users\viola\Desktop\ENG_GHM\biscowwiscow.wav,IS,biscow and wiscow              wiscow and biscow,conj,R,,0,50,50,9,,,,,,,6,8.613,,,2015_Dec_30_1312,32.0139831584,binomials,1,r103
C:\Users\viola\Desktop\ENG_GHM\kizzykrizzy.wav,ICN,kizzy-krizzy               krizzy-kizzy,red,L,,0,51,51,40,,,,,,,1,9.498,,,2015_Dec_30_1312,32.0139831584,binomials,1,r103
C:\Users\viola\Desktop\ENG_GHM\lisketlasket.wav,VQ,lisket-lasket                  lasket-lisket,red,L,,0,52,52,20,,,,,,,1,9.216,,,2015_Dec_30_1312,32.0139831584,binomials,1,r103
C:\Users\viola\Desktop\ENG_GHM\bullgorboolgor.wav,VL,bullgor-boolgor            boolgor-bullgor,red,L,,0,53,53,33,,,,,,,4,12.721,,,2015_Dec_30_1312,32.0139831584,binomials,1,r103
C:\Users\viola\Desktop\ENG_GHM\resteacresteact.wav,FCN,resteac and resteact            resteact and resteac,conj,L,,0,54,54,58,,,,,,,3,14.712,,,2015_Dec_30_1312,32.0139831584,binomials,1,r103
C:\Users\viola\Desktop\ENG_GHM\steloatsteloam.wav,FS,steloat and steloam           steloam and steloat,conj,L,,0,55,55,18,,,,,,,1,8.255,,,2015_Dec_30_1312,32.0139831584,binomials,1,r103
C:\Users\viola\Desktop\ENG_GHM\booteecboteect.wav,FCN,boteec and boteect              boteect and boteec,conj,L,,0,56,56,56,,,,,,,2,11.205,,,2015_Dec_30_1312,32.0139831584,binomials,1,r103
C:\Users\viola\Desktop\ENG_GHM\stockelsteckel.wav,VQ,stockel and steckel             steckel and stockel,conj,R,,0,57,57,25,,,,,,,6,11.178,,,2015_Dec_30_1312,32.0139831584,binomials,1,r103
C:\Users\viola\Desktop\ENG_GHM\spettysetty.wav,ICN,spetty and setty                  setty and spetty,conj,R,,0,58,58,45,,,,,,,5,9.591,,,2015_Dec_30_1312,32.0139831584,binomials,1,r103
C:\Users\viola\Desktop\ENG_GHM\revecrevect.wav,FCN,revec-revect               revect-revec,red,L,,0,59,59,54,,,,,,,6,7.474,,,2015_Dec_30_1312,32.0139831584,binomials,1,r103
C:\Users\viola\Desktop\ENG_GHM\bilnerbulner.wav,Q/L,,red,L,bilner-bullner               bilner-bealner,,,,,0,0,0,1,,,,,1,10.004,2015_Dec_30_1312,32.0139831584,binomials,1,r103
C:\Users\viola\Desktop\ENG_GHM\nicketnucket.wav,Q/L,,red,L,nicket-nooket              nicket-neeket,,,,,0,1,1,3,,,,,1,9.393,2015_Dec_30_1312,32.0139831584,binomials,1,r103
C:\Users\viola\Desktop\ENG_GHM\cabickcabeeck.wav,Q/L,,conj,R,cabick  and cabeek               cabick and cabook,,,,,0,2,2,6,,,,,1,8.718,2015_Dec_30_1312,32.0139831584,binomials,1,r103
C:\Users\viola\Desktop\ENG_GHM\seskykesky.wav,IS/ICN,,conj,L,sesky and kesky                    sesky and slesky ,,,,,0,3,3,35,,,,,1,10.031,2015_Dec_30_1312,32.0139831584,binomials,1,r103
C:\Users\viola\Desktop\ENG_GHM\tiglowtaglow.wav,ICN/Q,,red,L,tiglow-taglow                 tiglow-triglow,,,,,0,4,4,20,,,,,1,9.553,2015_Dec_30_1312,32.0139831584,binomials,1,r103
C:\Users\viola\Desktop\ENG_GHM\kettipkrettip.wav,ICN/Q,,conj,R,kettip and krettip                     kettip and kottip,,,,,0,5,5,27,,,,,6,10.832,2015_Dec_30_1312,32.0139831584,binomials,1,r103
C:\Users\viola\Desktop\ENG_GHM\deblicdreblic.wav,ICN/Q,,conj,R,deblic and dreblic                    deblic and doblic,,,,,0,6,6,25,,,,,6,10.736,2015_Dec_30_1312,32.0139831584,binomials,1,r103
C:\Users\viola\Desktop\ENG_GHM\fiprettipret.wav,IS/ICN,,red,L,          fipret-tipret                   fipret-flipret                   ,,,,,0,7,7,31,,,,,1,9.78,2015_Dec_30_1312,32.0139831584,binomials,1,r103
C:\Users\viola\Desktop\ENG_GHM\teckletackle.wav,ICN/Q,,red,L,teckil-tockil                   teckil-treckil,,,,,0,8,8,23,,,,,4,10.309,2015_Dec_30_1312,32.0139831584,binomials,1,r103
C:\Users\viola\Desktop\ENG_GHM\sitlenpitlen.wav,IS/Q,,conj,L,sitlen and pitlen                      sitlen and satlen,,,,,0,9,9,16,,,,,1,8.614,2015_Dec_30_1312,32.0139831584,binomials,1,r103
C:\Users\viola\Desktop\ENG_GHM\filkyfealky.wav,Q/L,,red,R,filky-fealky                  filky-fulky,,,,,0,10,10,0,,,,,6,7.717,2015_Dec_30_1312,32.0139831584,binomials,1,r103
