sound,rule,binomials,structure,predicted_order,binomials2,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials_3.thisRepN,trials_3.thisTrialN,trials_3.thisN,trials_3.thisIndex,key_resp_4.keys,key_resp_4.rt,rating_2.response,rating_2.rt,rating_5.response,rating_5.rt,date,frameRate,expName,session,participant
,,,,,,,,,,,,,,space,7.7309740393,,,,,2016_Feb_10_1109,32.0413034182,binomials,1,r111
C:\Users\viola\Desktop\ENG_GHM\sponersoner.wav,ICN,sponer-soner              soner-sponer,red,R,,0,0,0,41,,,,,,,2,12.288,,,2016_Feb_10_1109,32.0413034182,binomials,1,r111
C:\Users\viola\Desktop\ENG_GHM\spettysetty.wav,ICN,spetty and setty                  setty and spetty,conj,R,,0,1,1,45,,,,,,,5,11.585,,,2016_Feb_10_1109,32.0413034182,binomials,1,r111
C:\Users\viola\Desktop\ENG_GHM\teskerresker.wav,IS,            tesker and resker               resker and tesker                 ,conj,R,,0,2,2,7,,,,,,,1,5.493,,,2016_Feb_10_1109,32.0413034182,binomials,1,r111
C:\Users\viola\Desktop\ENG_GHM\plengsterpengster.wav,ICN,plenster and penster            penster and plenster,conj,R,,0,3,3,47,,,,,,,5,7.583,,,2016_Feb_10_1109,32.0413034182,binomials,1,r111
C:\Users\viola\Desktop\ENG_GHM\revidrevad.wav,VQ,revid-revad                     revad-revid,red,L,,0,4,4,24,,,,,,,2,6.527,,,2016_Feb_10_1109,32.0413034182,binomials,1,r111
C:\Users\viola\Desktop\ENG_GHM\biscowwiscow.wav,IS,biscow and wiscow              wiscow and biscow,conj,R,,0,5,5,9,,,,,,,1,6.103,,,2016_Feb_10_1109,32.0413034182,binomials,1,r111
C:\Users\viola\Desktop\ENG_GHM\feckinfreckin.wav,ICN,feckin-freckin              freckin-feckin,red,L,,0,6,6,44,,,,,,,1,5.278,,,2016_Feb_10_1109,32.0413034182,binomials,1,r111
C:\Users\viola\Desktop\ENG_GHM\lisketlasket.wav,VQ,lisket-lasket                  lasket-lisket,red,L,,0,7,7,20,,,,,,,1,3.892,,,2016_Feb_10_1109,32.0413034182,binomials,1,r111
C:\Users\viola\Desktop\ENG_GHM\vertylerty.wav,IS,verty-lerty                   lerty-verty,red,R,,0,8,8,1,,,,,,,1,3.366,,,2016_Feb_10_1109,32.0413034182,binomials,1,r111
C:\Users\viola\Desktop\ENG_GHM\pleefterplifter.wav,VL,pleefter and plifter                 plifter and pleefter,conj,R,,0,9,9,36,,,,,,,1,5.177,,,2016_Feb_10_1109,32.0413034182,binomials,1,r111
C:\Users\viola\Desktop\ENG_GHM\bepleckbeplock.wav,VQ,bepleck and beplock            beplock and bepleck,conj,L,,0,10,10,27,,,,,,,1,4.554,,,2016_Feb_10_1109,32.0413034182,binomials,1,r111
C:\Users\viola\Desktop\ENG_GHM\cleesty-clisty.wav,VL,cleesty-clisty              clisty-cleesty,red,R,,0,11,11,32,,,,,,,1,4.842,,,2016_Feb_10_1109,32.0413034182,binomials,1,r111
C:\Users\viola\Desktop\ENG_GHM\tefoiltefoig.wav,FS,tefoil and tefoig                  tefoig and tefoil,conj,R,,0,12,12,19,,,,,,,1,3.635,,,2016_Feb_10_1109,32.0413034182,binomials,1,r111
C:\Users\viola\Desktop\ENG_GHM\croosetcooset.wav,ICN,crooset-cooset           cooset-crooset,red,R,,0,13,13,43,,,,,,,1,3.406,,,2016_Feb_10_1109,32.0413034182,binomials,1,r111
C:\Users\viola\Desktop\ENG_GHM\rigsterragster.wav,VQ,rigster and ragster                ragster and rigster,conj,L,,0,14,14,28,,,,,,,1,3.273,,,2016_Feb_10_1109,32.0413034182,binomials,1,r111
C:\Users\viola\Desktop\ENG_GHM\miscottmiscon.wav,FS,miscott-miscon          miscon-miscott,red,L,,0,15,15,14,,,,,,,1,3.461,,,2016_Feb_10_1109,32.0413034182,binomials,1,r111
C:\Users\viola\Desktop\ENG_GHM\lantiesvanties.wav,IS,lanties and vanties               vanties and lanties,conj,L,,0,16,16,6,,,,,,,1,3.273,,,2016_Feb_10_1109,32.0413034182,binomials,1,r111
