sound,rule,binomials,structure,predicted_order,binomials2,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials_3.thisRepN,trials_3.thisTrialN,trials_3.thisN,trials_3.thisIndex,key_resp_4.keys,key_resp_4.rt,rating_2.response,rating_2.rt,rating_5.response,rating_5.rt,date,frameRate,expName,session,participant
,,,,,,,,,,,,,,space,4.8156358372,,,,,2016_Feb_10_1437,31.9400281226,binomials,1,r112
C:\Users\viola\Desktop\ENG_GHM\deriptderip.wav,FCN,deript and derip                   derip and deript,conj,R,,0,0,0,57,,,,,,,2,7.736,,,2016_Feb_10_1437,31.9400281226,binomials,1,r112
C:\Users\viola\Desktop\ENG_GHM\fibsterfeabster.wav,VL,fibster and feabster               feabster and fibster,conj,L,,0,1,1,38,,,,,,,3,15.619,,,2016_Feb_10_1437,31.9400281226,binomials,1,r112
C:\Users\viola\Desktop\ENG_GHM\lishooclishoon.wav,FS,lishooc-lishoon           lishoon-lishooc,red,L,,0,2,2,12,,,,,,,4,10.037,,,2016_Feb_10_1437,31.9400281226,binomials,1,r112
C:\Users\viola\Desktop\ENG_GHM\cleesty-clisty.wav,VL,cleesty-clisty              clisty-cleesty,red,R,,0,3,3,32,,,,,,,2,8.782,,,2016_Feb_10_1437,31.9400281226,binomials,1,r112
C:\Users\viola\Desktop\ENG_GHM\revecrevect.wav,FCN,revec-revect               revect-revec,red,L,,0,4,4,54,,,,,,,5,8.907,,,2016_Feb_10_1437,31.9400281226,binomials,1,r112
C:\Users\viola\Desktop\ENG_GHM\lomickgomick.wav,IS,lomick-gomick            gomick-lomick,red,L,,0,5,5,4,,,,,,,2,8.927,,,2016_Feb_10_1437,31.9400281226,binomials,1,r112
C:\Users\viola\Desktop\ENG_GHM\lantiesvanties.wav,IS,lanties and vanties               vanties and lanties,conj,L,,0,6,6,6,,,,,,,2,10.293,,,2016_Feb_10_1437,31.9400281226,binomials,1,r112
C:\Users\viola\Desktop\ENG_GHM\steloatsteloam.wav,FS,steloat and steloam           steloam and steloat,conj,L,,0,7,7,18,,,,,,,3,16.317,,,2016_Feb_10_1437,31.9400281226,binomials,1,r112
C:\Users\viola\Desktop\ENG_GHM\feckinfreckin.wav,ICN,feckin-freckin              freckin-feckin,red,L,,0,8,8,44,,,,,,,1,4.818,,,2016_Feb_10_1437,31.9400281226,binomials,1,r112
C:\Users\viola\Desktop\ENG_GHM\beetowbreetow.wav,ICN,beetow and breetow             breetow and beetow,conj,L,,0,9,9,48,,,,,,,3,9.392,,,2016_Feb_10_1437,31.9400281226,binomials,1,r112
C:\Users\viola\Desktop\ENG_GHM\beroapberoapt.wav,FCN,beroap-beroapt          beroapt-beroap,red,L,,0,10,10,52,,,,,,,1,6.356,,,2016_Feb_10_1437,31.9400281226,binomials,1,r112
C:\Users\viola\Desktop\ENG_GHM\guskingluskin.wav,ICN,guskin-gluskin            gluskin-guskin,red,L,,0,11,11,42,,,,,,,2,4.289,,,2016_Feb_10_1437,31.9400281226,binomials,1,r112
C:\Users\viola\Desktop\ENG_GHM\befoolpbefulp.wav,VL,befoolp and befulp                 befulp and befoolp,conj,R,,0,12,12,39,,,,,,,2,9.197,,,2016_Feb_10_1437,31.9400281226,binomials,1,r112
C:\Users\viola\Desktop\ENG_GHM\pleefterplifter.wav,VL,pleefter and plifter                 plifter and pleefter,conj,R,,0,13,13,36,,,,,,,5,8.118,,,2016_Feb_10_1437,31.9400281226,binomials,1,r112
C:\Users\viola\Desktop\ENG_GHM\pichoogpichoon.wav,FS,pichoog and pichoon          pichoon and pichoog,conj,L,,0,14,14,16,,,,,,,1,7.547,,,2016_Feb_10_1437,31.9400281226,binomials,1,r112
C:\Users\viola\Desktop\ENG_GHM\yoglitstoglits.wav,IS,yoglits and toglits                toglits and yoglits,conj,L,,0,15,15,8,,,,,,,3,11.313,,,2016_Feb_10_1437,31.9400281226,binomials,1,r112
C:\Users\viola\Desktop\ENG_GHM\sladvinslidvin.wav,VQ,sladvin and slidvin                slidvin and sladvin,conj,R,,0,16,16,26,,,,,,,5,9.63,,,2016_Feb_10_1437,31.9400281226,binomials,1,r112
C:\Users\viola\Desktop\ENG_GHM\booteecboteect.wav,FCN,boteec and boteect              boteect and boteec,conj,L,,0,17,17,56,,,,,,,2,7.289,,,2016_Feb_10_1437,31.9400281226,binomials,1,r112
C:\Users\viola\Desktop\ENG_GHM\rigsterragster.wav,VQ,rigster and ragster                ragster and rigster,conj,L,,0,18,18,28,,,,,,,3,10.734,,,2016_Feb_10_1437,31.9400281226,binomials,1,r112
C:\Users\viola\Desktop\ENG_GHM\sponersoner.wav,ICN,sponer-soner              soner-sponer,red,R,,0,19,19,41,,,,,,,5,7.324,,,2016_Feb_10_1437,31.9400281226,binomials,1,r112
C:\Users\viola\Desktop\ENG_GHM\bickeshbickel.wav,FS,bickesh-bickell           bickell-bickesh,red,L,,0,20,20,10,,,,,,,2,9.747,,,2016_Feb_10_1437,31.9400281226,binomials,1,r112
C:\Users\viola\Desktop\ENG_GHM\vertylerty.wav,IS,verty-lerty                   lerty-verty,red,R,,0,21,21,1,,,,,,,1,8.628,,,2016_Feb_10_1437,31.9400281226,binomials,1,r112
C:\Users\viola\Desktop\ENG_GHM\rebamrebat.wav,FS,rebam-rebat               rebat-rebam,red,R,,0,22,22,13,,,,,,,2,11.456,,,2016_Feb_10_1437,31.9400281226,binomials,1,r112
C:\Users\viola\Desktop\ENG_GHM\neasterheaster.wav,IS,neaster and heaster             heaster and neaster,conj,R,,0,23,23,5,,,,,,,4,8.968,,,2016_Feb_10_1437,31.9400281226,binomials,1,r112
C:\Users\viola\Desktop\ENG_GHM\bepleckbeplock.wav,VQ,bepleck and beplock            beplock and bepleck,conj,L,,0,24,24,27,,,,,,,2,10.244,,,2016_Feb_10_1437,31.9400281226,binomials,1,r112
C:\Users\viola\Desktop\ENG_GHM\bockelbeckel.wav,VQ,bockel-beckel                beckel-bockel,red,R,,0,25,25,21,,,,,,,5,5.163,,,2016_Feb_10_1437,31.9400281226,binomials,1,r112
C:\Users\viola\Desktop\ENG_GHM\kizzykrizzy.wav,ICN,kizzy-krizzy               krizzy-kizzy,red,L,,0,26,26,40,,,,,,,1,5.72,,,2016_Feb_10_1437,31.9400281226,binomials,1,r112
C:\Users\viola\Desktop\ENG_GHM\hestamhestad.wav,FS,hestam and hestad            hestad and hestam,conj,R,,0,27,27,17,,,,,,,5,11.183,,,2016_Feb_10_1437,31.9400281226,binomials,1,r112
C:\Users\viola\Desktop\ENG_GHM\teskerresker.wav,IS,            tesker and resker               resker and tesker                 ,conj,R,,0,28,28,7,,,,,,,2,9.045,,,2016_Feb_10_1437,31.9400281226,binomials,1,r112
C:\Users\viola\Desktop\ENG_GHM\resteacresteact.wav,FCN,resteac and resteact            resteact and resteac,conj,L,,0,29,29,58,,,,,,,1,5.361,,,2016_Feb_10_1437,31.9400281226,binomials,1,r112
C:\Users\viola\Desktop\ENG_GHM\spettysetty.wav,ICN,spetty and setty                  setty and spetty,conj,R,,0,30,30,45,,,,,,,5,7.467,,,2016_Feb_10_1437,31.9400281226,binomials,1,r112
C:\Users\viola\Desktop\ENG_GHM\linooctlinooc.wav,FCN,linooct and linooc                linooc and linooct,conj,R,,0,31,31,59,,,,,,,2,9.236,,,2016_Feb_10_1437,31.9400281226,binomials,1,r112
C:\Users\viola\Desktop\ENG_GHM\ristyreasty.wav,VL,risty-reasty                 reasty-risty,red,L,,0,32,32,34,,,,,,,1,5.722,,,2016_Feb_10_1437,31.9400281226,binomials,1,r112
C:\Users\viola\Desktop\ENG_GHM\fullsyfoolsy.wav,VL,fullsy and foolsy                    foolsy and fullsy,conj,L,,0,33,33,37,,,,,,,3,9.88,,,2016_Feb_10_1437,31.9400281226,binomials,1,r112
