sound,rule,binomials,structure,predicted_order,binomials2,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials_3.thisRepN,trials_3.thisTrialN,trials_3.thisN,trials_3.thisIndex,key_resp_4.keys,key_resp_4.rt,rating_2.response,rating_2.rt,rating_5.response,rating_5.rt,date,frameRate,expName,session,participant
,,,,,,,,,,,,,,space,7.4821222439,,,,,2016_Feb_17_1407,32.0397609553,binomials,1,r116
C:\Users\viola\Desktop\ENG_GHM\resteacresteact.wav,FCN,resteac and resteact            resteact and resteac,conj,L,,0,0,0,58,,,,,,,2,13.214,,,2016_Feb_17_1407,32.0397609553,binomials,1,r116
C:\Users\viola\Desktop\ENG_GHM\steloatsteloam.wav,FS,steloat and steloam           steloam and steloat,conj,L,,0,1,1,18,,,,,,,3,7.705,,,2016_Feb_17_1407,32.0397609553,binomials,1,r116
C:\Users\viola\Desktop\ENG_GHM\spettysetty.wav,ICN,spetty and setty                  setty and spetty,conj,R,,0,2,2,45,,,,,,,1,5.161,,,2016_Feb_17_1407,32.0397609553,binomials,1,r116
C:\Users\viola\Desktop\ENG_GHM\loskylesky.wav,VQ,losky and lesky                   lesky and losky,conj,R,,0,3,3,29,,,,,,,5,5.731,,,2016_Feb_17_1407,32.0397609553,binomials,1,r116
C:\Users\viola\Desktop\ENG_GHM\fullsyfoolsy.wav,VL,fullsy and foolsy                    foolsy and fullsy,conj,L,,0,4,4,37,,,,,,,6,5.683,,,2016_Feb_17_1407,32.0397609553,binomials,1,r116
C:\Users\viola\Desktop\ENG_GHM\feckinfreckin.wav,ICN,feckin-freckin              freckin-feckin,red,L,,0,5,5,44,,,,,,,6,7.492,,,2016_Feb_17_1407,32.0397609553,binomials,1,r116
C:\Users\viola\Desktop\ENG_GHM\horketnorket.wav,IS,horkit-norkit                norkit-horkit,red,L,,0,6,6,2,,,,,,,5,8.36,,,2016_Feb_17_1407,32.0397609553,binomials,1,r116
C:\Users\viola\Desktop\ENG_GHM\redoolredoob.wav,FS,redool and redoob       redoob and redool,conj,R,,0,7,7,15,,,,,,,6,8.107,,,2016_Feb_17_1407,32.0397609553,binomials,1,r116
C:\Users\viola\Desktop\ENG_GHM\miscottmiscon.wav,FS,miscott-miscon          miscon-miscott,red,L,,0,8,8,14,,,,,,,1,8.384,,,2016_Feb_17_1407,32.0397609553,binomials,1,r116
C:\Users\viola\Desktop\ENG_GHM\lantiesvanties.wav,IS,lanties and vanties               vanties and lanties,conj,L,,0,9,9,6,,,,,,,6,7.418,,,2016_Feb_17_1407,32.0397609553,binomials,1,r116
C:\Users\viola\Desktop\ENG_GHM\seroapseroapt.wav,FCN,seroap-seroapt          seroapt-seroap,red,L,,0,10,10,50,,,,,,,1,6.134,,,2016_Feb_17_1407,32.0397609553,binomials,1,r116
C:\Users\viola\Desktop\ENG_GHM\restellresteg.wav,FS,restell-resteg              resteg-restell,red,R,,0,11,11,11,,,,,,,5,6.684,,,2016_Feb_17_1407,32.0397609553,binomials,1,r116
C:\Users\viola\Desktop\ENG_GHM\guskingluskin.wav,ICN,guskin-gluskin            gluskin-guskin,red,L,,0,12,12,42,,,,,,,4,5.743,,,2016_Feb_17_1407,32.0397609553,binomials,1,r116
C:\Users\viola\Desktop\ENG_GHM\deriptderip.wav,FCN,deript and derip                   derip and deript,conj,R,,0,13,13,57,,,,,,,6,6.076,,,2016_Feb_17_1407,32.0397609553,binomials,1,r116
C:\Users\viola\Desktop\ENG_GHM\spoolkyspullky.wav,VL,spoolky and spullky              spullky and spoolky,conj,R,,0,14,14,35,,,,,,,4,6.569,,,2016_Feb_17_1407,32.0397609553,binomials,1,r116
C:\Users\viola\Desktop\ENG_GHM\plengsterpengster.wav,ICN,plenster and penster            penster and plenster,conj,R,,0,15,15,47,,,,,,,5,6.743,,,2016_Feb_17_1407,32.0397609553,binomials,1,r116
C:\Users\viola\Desktop\ENG_GHM\sigglestiggle.wav,ICN,siggle and stiggle                stiggle and siggle,conj,L,,0,16,16,46,,,,,,,1,7.01,,,2016_Feb_17_1407,32.0397609553,binomials,1,r116
C:\Users\viola\Desktop\ENG_GHM\clazzipclizzip.wav,VQ,clazzip-clizzip               clizzip-clazzip,red,R,,0,17,17,22,,,,,,,6,4.877,,,2016_Feb_17_1407,32.0397609553,binomials,1,r116
C:\Users\viola\Desktop\ENG_GHM\hestamhestad.wav,FS,hestam and hestad            hestad and hestam,conj,R,,0,18,18,17,,,,,,,4,8.724,,,2016_Feb_17_1407,32.0397609553,binomials,1,r116
C:\Users\viola\Desktop\ENG_GHM\pleefterplifter.wav,VL,pleefter and plifter                 plifter and pleefter,conj,R,,0,19,19,36,,,,,,,6,4.71,,,2016_Feb_17_1407,32.0397609553,binomials,1,r116
C:\Users\viola\Desktop\ENG_GHM\pichoogpichoon.wav,FS,pichoog and pichoon          pichoon and pichoog,conj,L,,0,20,20,16,,,,,,,5,6.031,,,2016_Feb_17_1407,32.0397609553,binomials,1,r116
C:\Users\viola\Desktop\ENG_GHM\stockelsteckel.wav,VQ,stockel and steckel             steckel and stockel,conj,R,,0,21,21,25,,,,,,,4,12.029,,,2016_Feb_17_1407,32.0397609553,binomials,1,r116
