sound,rule,binomials,structure,predicted_order,binomials2,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials_3.thisRepN,trials_3.thisTrialN,trials_3.thisN,trials_3.thisIndex,key_resp_4.keys,key_resp_4.rt,rating_2.response,rating_2.rt,rating_5.response,rating_5.rt,date,frameRate,expName,session,participant
,,,,,,,,,,,,,,space,10.5924373833,,,,,2016_Jan_29_1113,32.0353844487,binomials,1,r110
C:\Users\viola\Desktop\ENG_GHM\beetowbreetow.wav,ICN,beetow and breetow             breetow and beetow,conj,L,,0,0,0,48,,,,,,,2,10.095,,,2016_Jan_29_1113,32.0353844487,binomials,1,r110
C:\Users\viola\Desktop\ENG_GHM\pichoogpichoon.wav,FS,pichoog and pichoon          pichoon and pichoog,conj,L,,0,1,1,16,,,,,,,5,11.768,,,2016_Jan_29_1113,32.0353844487,binomials,1,r110
C:\Users\viola\Desktop\ENG_GHM\seroapseroapt.wav,FCN,seroap-seroapt          seroapt-seroap,red,L,,0,2,2,50,,,,,,,1,8.547,,,2016_Jan_29_1113,32.0353844487,binomials,1,r110
C:\Users\viola\Desktop\ENG_GHM\lisketlasket.wav,VQ,lisket-lasket                  lasket-lisket,red,L,,0,3,3,20,,,,,,,2,6.761,,,2016_Jan_29_1113,32.0353844487,binomials,1,r110
C:\Users\viola\Desktop\ENG_GHM\rebamrebat.wav,FS,rebam-rebat               rebat-rebam,red,R,,0,4,4,13,,,,,,,3,11.581,,,2016_Jan_29_1113,32.0353844487,binomials,1,r110
C:\Users\viola\Desktop\ENG_GHM\redoolredoob.wav,FS,redool and redoob       redoob and redool,conj,R,,0,5,5,15,,,,,,,3,7.139,,,2016_Jan_29_1113,32.0353844487,binomials,1,r110
C:\Users\viola\Desktop\ENG_GHM\sladvinslidvin.wav,VQ,sladvin and slidvin                slidvin and sladvin,conj,R,,0,6,6,26,,,,,,,3,8.072,,,2016_Jan_29_1113,32.0353844487,binomials,1,r110
C:\Users\viola\Desktop\ENG_GHM\bepleckbeplock.wav,VQ,bepleck and beplock            beplock and bepleck,conj,L,,0,7,7,27,,,,,,,2,8.116,,,2016_Jan_29_1113,32.0353844487,binomials,1,r110
C:\Users\viola\Desktop\ENG_GHM\biscowwiscow.wav,IS,biscow and wiscow              wiscow and biscow,conj,R,,0,8,8,9,,,,,,,6,7.715,,,2016_Jan_29_1113,32.0353844487,binomials,1,r110
C:\Users\viola\Desktop\ENG_GHM\bickeshbickel.wav,FS,bickesh-bickell           bickell-bickesh,red,L,,0,9,9,10,,,,,,,5,9.321,,,2016_Jan_29_1113,32.0353844487,binomials,1,r110
C:\Users\viola\Desktop\ENG_GHM\sigglestiggle.wav,ICN,siggle and stiggle                stiggle and siggle,conj,L,,0,10,10,46,,,,,,,1,5.964,,,2016_Jan_29_1113,32.0353844487,binomials,1,r110
C:\Users\viola\Desktop\ENG_GHM\rigsterragster.wav,VQ,rigster and ragster                ragster and rigster,conj,L,,0,11,11,28,,,,,,,3,10.505,,,2016_Jan_29_1113,32.0353844487,binomials,1,r110
C:\Users\viola\Desktop\ENG_GHM\teskerresker.wav,IS,            tesker and resker               resker and tesker                 ,conj,R,,0,12,12,7,,,,,,,5,8.467,,,2016_Jan_29_1113,32.0353844487,binomials,1,r110
C:\Users\viola\Desktop\ENG_GHM\restellresteg.wav,FS,restell-resteg              resteg-restell,red,R,,0,13,13,11,,,,,,,3,8.996,,,2016_Jan_29_1113,32.0353844487,binomials,1,r110
