sound,rule,binomials,structure,predicted_order,binomials2,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials_3.thisRepN,trials_3.thisTrialN,trials_3.thisN,trials_3.thisIndex,key_resp_4.keys,key_resp_4.rt,rating_2.response,rating_2.rt,rating_5.response,rating_5.rt,date,frameRate,expName,session,participant
,,,,,,,,,,,,,,space,9.0119075464,,,,,2015_Dec_30_1211,32.0328727229,binomials,1,r102
C:\Users\viola\Desktop\ENG_GHM\revidrevad.wav,VQ,revid-revad                     revad-revid,red,L,,0,0,0,24,,,,,,,2,6.014,,,2015_Dec_30_1211,32.0328727229,binomials,1,r102
C:\Users\viola\Desktop\ENG_GHM\croosetcooset.wav,ICN,crooset-cooset           cooset-crooset,red,R,,0,1,1,43,,,,,,,6,5.994,,,2015_Dec_30_1211,32.0328727229,binomials,1,r102
C:\Users\viola\Desktop\ENG_GHM\hestamhestad.wav,FS,hestam and hestad            hestad and hestam,conj,R,,0,2,2,17,,,,,,,3,21.753,,,2015_Dec_30_1211,32.0328727229,binomials,1,r102
C:\Users\viola\Desktop\ENG_GHM\plibsterpibster.wav,ICN,plibster and pibster              pibster and plibster,conj,R,,0,3,3,49,,,,,,,5,9.805,,,2015_Dec_30_1211,32.0328727229,binomials,1,r102
C:\Users\viola\Desktop\ENG_GHM\steloatsteloam.wav,FS,steloat and steloam           steloam and steloat,conj,L,,0,4,4,18,,,,,,,1,6.769,,,2015_Dec_30_1211,32.0328727229,binomials,1,r102
C:\Users\viola\Desktop\ENG_GHM\spoolkyspullky.wav,VL,spoolky and spullky              spullky and spoolky,conj,R,,0,5,5,35,,,,,,,3,6.662,,,2015_Dec_30_1211,32.0328727229,binomials,1,r102
C:\Users\viola\Desktop\ENG_GHM\clazzipclizzip.wav,VQ,clazzip-clizzip               clizzip-clazzip,red,R,,0,6,6,22,,,,,,,5,5.147,,,2015_Dec_30_1211,32.0328727229,binomials,1,r102
C:\Users\viola\Desktop\ENG_GHM\neasterheaster.wav,IS,neaster and heaster             heaster and neaster,conj,R,,0,7,7,5,,,,,,,5,7.588,,,2015_Dec_30_1211,32.0328727229,binomials,1,r102
C:\Users\viola\Desktop\ENG_GHM\teskerresker.wav,IS,            tesker and resker               resker and tesker                 ,conj,R,,0,8,8,7,,,,,,,2,5.738,,,2015_Dec_30_1211,32.0328727229,binomials,1,r102
C:\Users\viola\Desktop\ENG_GHM\linooctlinooc.wav,FCN,linooct and linooc                linooc and linooct,conj,R,,0,9,9,59,,,,,,,1,5.576,,,2015_Dec_30_1211,32.0328727229,binomials,1,r102
C:\Users\viola\Desktop\ENG_GHM\restellresteg.wav,FS,restell-resteg              resteg-restell,red,R,,0,10,10,11,,,,,,,2,6.211,,,2015_Dec_30_1211,32.0328727229,binomials,1,r102
C:\Users\viola\Desktop\ENG_GHM\lisketlasket.wav,VQ,lisket-lasket                  lasket-lisket,red,L,,0,11,11,20,,,,,,,1,5.147,,,2015_Dec_30_1211,32.0328727229,binomials,1,r102
C:\Users\viola\Desktop\ENG_GHM\pichoogpichoon.wav,FS,pichoog and pichoon          pichoon and pichoog,conj,L,,0,12,12,16,,,,,,,2,5.354,,,2015_Dec_30_1211,32.0328727229,binomials,1,r102
C:\Users\viola\Desktop\ENG_GHM\befoolpbefulp.wav,VL,befoolp and befulp                 befulp and befoolp,conj,R,,0,13,13,39,,,,,,,3,6.331,,,2015_Dec_30_1211,32.0328727229,binomials,1,r102
C:\Users\viola\Desktop\ENG_GHM\deriptderip.wav,FCN,deript and derip                   derip and deript,conj,R,,0,14,14,57,,,,,,,3,4.982,,,2015_Dec_30_1211,32.0328727229,binomials,1,r102
C:\Users\viola\Desktop\ENG_GHM\deefelheefel.wav,IS,deefel-heefel               heefel-deefel,red,R,,0,15,15,3,,,,,,,5,4.435,,,2015_Dec_30_1211,32.0328727229,binomials,1,r102
C:\Users\viola\Desktop\ENG_GHM\lantiesvanties.wav,IS,lanties and vanties               vanties and lanties,conj,L,,0,16,16,6,,,,,,,5,6.152,,,2015_Dec_30_1211,32.0328727229,binomials,1,r102
