sound,rule,binomials,predicted_order,vowel,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,key_resp_3.keys,key_resp_3.rt,rating.response,rating.rt,date,frameRate,expName,session,participant,
,,,,,,,,,space,32.9096816476,,,2019_Feb_08_1327,60.2081818807,English,001,r13,
fep_flep_kep.wav,R/CO,fep and flep           fep and kep,R,none,0,0,0,21,,,2,8.07,2019_Feb_08_1327,60.2081818807,English,001,r13,
feth_foth_fleth.wav,CO/A,feth and foth           feth and fleth,R,a,0,1,1,19,,,6,5.148,2019_Feb_08_1327,60.2081818807,English,001,r13,
feth_teth_foth.wav,R/A,feth and teth           feth and foth,L,a,0,2,2,9,,,3,2.974,2019_Feb_08_1327,60.2081818807,English,001,r13,
sitch_satch_kitch.wav,R/A,sitch and satch           sitch and kitch,R,h,0,3,3,4,,,2,4.258,2019_Feb_08_1327,60.2081818807,English,001,r13,
sem_slem_tem.wav,R/CO,sem and slem           sem and tem,R,none,0,4,4,23,,,5,5.226,2019_Feb_08_1327,60.2081818807,English,001,r13,
fev_fov_flev.wav,CO/A,fev and fov           fev and flev,R,a,0,5,5,15,,,4,3.627,2019_Feb_08_1327,60.2081818807,English,001,r13,
fev_kev_fov.wav,R/A,fev and kev           fev and fov,L,a,0,6,6,5,,,2,2.608,2019_Feb_08_1327,60.2081818807,English,001,r13,
shiz_shriz_shaz.wav,CO/A,shiz and shriz           shiz and shaz,L,h,0,7,7,10,,,5,3.022,2019_Feb_08_1327,60.2081818807,English,001,r13,
sem_som_slem.wav,CO/A,sem and som           sem and slem,R,a,0,8,8,13,,,2,4.612,2019_Feb_08_1327,60.2081818807,English,001,r13,
sith_tith_slith.wav,R/CO,sith and tith           sith and slith,L,none,0,9,9,28,,,2,4.545,2019_Feb_08_1327,60.2081818807,English,001,r13,
siff_sliff_saff.wav,CO/A,siff and sliff           siff and saff,L,h,0,10,10,12,,,6,6.385,2019_Feb_08_1327,60.2081818807,English,001,r13,
sith_slith_sath.wav,CO/A,sith and slith           sith and sath,L,h,0,11,11,18,,,5,2.842,2019_Feb_08_1327,60.2081818807,English,001,r13,
sem_tem_som.wav,R/A,sem and tem           sem and som,L,a,0,12,12,3,,,6,4.421,2019_Feb_08_1327,60.2081818807,English,001,r13,
sith_sath_tith.wav,R/A,sith and sath           sith and tith,R,h,0,13,13,8,,,3,7.912,2019_Feb_08_1327,60.2081818807,English,001,r13,
thep_tep_thop.wav,R/A,thep and tep           thep and thop,L,a,0,14,14,7,,,6,6.693,2019_Feb_08_1327,60.2081818807,English,001,r13,
fev_flev_kev.wav,R/CO,fev and flev           fev and kev,R,none,0,15,15,25,,,6,3.005,2019_Feb_08_1327,60.2081818807,English,001,r13,
siz_piz_stiz.wav,R/CO,siz and piz           siz and stiz,L,none,0,16,16,26,,,1,3.513,2019_Feb_08_1327,60.2081818807,English,001,r13,
fep_kep_fop.wav,R/A,fep and kep           fep and fop,L,a,0,17,17,1,,,1,2.727,2019_Feb_08_1327,60.2081818807,English,001,r13,
feth_fleth_teth.wav,R/CO,feth and fleth           feth and teth,R,none,0,18,18,29,,,6,3.901,2019_Feb_08_1327,60.2081818807,English,001,r13,
sitch_smitch_satch.wav,CO/A,sitch and smitch           sitch and satch,L,h,0,19,19,14,,,6,4.089,2019_Feb_08_1327,60.2081818807,English,001,r13,
siz_stiz_saz.wav,CO/A,siz and stiz           siz and saz,L,h,0,20,20,16,,,5,2.944,2019_Feb_08_1327,60.2081818807,English,001,r13,
sitch_kitch_smitch.wav,R/CO,sitch and kitch           sitch and smitch,L,none,0,21,21,24,,,3,4.578,2019_Feb_08_1327,60.2081818807,English,001,r13,
siff_piff_sliff.wav,R/CO,siff and piff           siff and sliff,L,none,0,22,22,22,,,2,2.352,2019_Feb_08_1327,60.2081818807,English,001,r13,
thep_thop_threp.wav,CO/A,thep and thop           thep and threp,R,a,0,23,23,17,,,3,4.179,2019_Feb_08_1327,60.2081818807,English,001,r13,
shiz_kiz_shriz.wav,R/CO,shiz and kiz           shiz and shriz,L,none,0,24,24,20,,,2,3.149,2019_Feb_08_1327,60.2081818807,English,001,r13,
shiz_shaz_kiz.wav,R/A,shiz and shaz           shiz and kiz,R,h,0,25,25,0,,,5,3.686,2019_Feb_08_1327,60.2081818807,English,001,r13,
siff_saff_piff.wav,R/A,siff and saff           siff and piff,R,h,0,26,26,2,,,5,4.366,2019_Feb_08_1327,60.2081818807,English,001,r13,
fep_fop_flep.wav,CO/A,fep and fop           fep and flep,R,a,0,27,27,11,,,2,2.972,2019_Feb_08_1327,60.2081818807,English,001,r13,
thep_threp_tep.wav,R/CO,thep and threp           thep and tep,R,none,0,28,28,27,,,5,7.326,2019_Feb_08_1327,60.2081818807,English,001,r13,
siz_saz_piz.wav,R/A,siz and saz           siz and piz,R,h,0,29,29,6,,,2,4.942,2019_Feb_08_1327,60.2081818807,English,001,r13,
