sound,rule,binomials,predicted_order,vowel,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,key_resp_3.keys,key_resp_3.rt,rating.response,rating.rt,date,frameRate,expName,session,participant,
,,,,,,,,,space,5.0065032423,,,2019_Jan_30_1110,59.7608296339,English,001,r09,
siz_piz_stiz.wav,R/CO,siz and piz           siz and stiz,L,none,0,0,0,26,,,5,16.192,2019_Jan_30_1110,59.7608296339,English,001,r09,
sith_slith_sath.wav,CO/A,sith and slith           sith and sath,L,h,0,1,1,18,,,2,7.407,2019_Jan_30_1110,59.7608296339,English,001,r09,
siz_stiz_saz.wav,CO/A,siz and stiz           siz and saz,L,h,0,2,2,16,,,5,10.376,2019_Jan_30_1110,59.7608296339,English,001,r09,
thep_tep_thop.wav,R/A,thep and tep           thep and thop,L,a,0,3,3,7,,,5,7.313,2019_Jan_30_1110,59.7608296339,English,001,r09,
siff_saff_piff.wav,R/A,siff and saff           siff and piff,R,h,0,4,4,2,,,2,6.392,2019_Jan_30_1110,59.7608296339,English,001,r09,
sitch_kitch_smitch.wav,R/CO,sitch and kitch           sitch and smitch,L,none,0,5,5,24,,,3,13.354,2019_Jan_30_1110,59.7608296339,English,001,r09,
fev_kev_fov.wav,R/A,fev and kev           fev and fov,L,a,0,6,6,5,,,3,5.373,2019_Jan_30_1110,59.7608296339,English,001,r09,
fep_fop_flep.wav,CO/A,fep and fop           fep and flep,R,a,0,7,7,11,,,5,4.522,2019_Jan_30_1110,59.7608296339,English,001,r09,
sitch_satch_kitch.wav,R/A,sitch and satch           sitch and kitch,R,h,0,8,8,4,,,2,4.859,2019_Jan_30_1110,59.7608296339,English,001,r09,
feth_fleth_teth.wav,R/CO,feth and fleth           feth and teth,R,none,0,9,9,29,,,4,4.541,2019_Jan_30_1110,59.7608296339,English,001,r09,
shiz_shriz_shaz.wav,CO/A,shiz and shriz           shiz and shaz,L,h,0,10,10,10,,,5,4.49,2019_Jan_30_1110,59.7608296339,English,001,r09,
feth_teth_foth.wav,R/A,feth and teth           feth and foth,L,a,0,11,11,9,,,4,7.301,2019_Jan_30_1110,59.7608296339,English,001,r09,
fev_flev_kev.wav,R/CO,fev and flev           fev and kev,R,none,0,12,12,25,,,4,5.093,2019_Jan_30_1110,59.7608296339,English,001,r09,
shiz_kiz_shriz.wav,R/CO,shiz and kiz           shiz and shriz,L,none,0,13,13,20,,,3,13.125,2019_Jan_30_1110,59.7608296339,English,001,r09,
shiz_shaz_kiz.wav,R/A,shiz and shaz           shiz and kiz,R,h,0,14,14,0,,,2,6.166,2019_Jan_30_1110,59.7608296339,English,001,r09,
fev_fov_flev.wav,CO/A,fev and fov           fev and flev,R,a,0,15,15,15,,,3,4.013,2019_Jan_30_1110,59.7608296339,English,001,r09,
fep_kep_fop.wav,R/A,fep and kep           fep and fop,L,a,0,16,16,1,,,5,4.301,2019_Jan_30_1110,59.7608296339,English,001,r09,
sem_slem_tem.wav,R/CO,sem and slem           sem and tem,R,none,0,17,17,23,,,4,5.861,2019_Jan_30_1110,59.7608296339,English,001,r09,
thep_threp_tep.wav,R/CO,thep and threp           thep and tep,R,none,0,18,18,27,,,5,3.444,2019_Jan_30_1110,59.7608296339,English,001,r09,
thep_thop_threp.wav,CO/A,thep and thop           thep and threp,R,a,0,19,19,17,,,2,5.323,2019_Jan_30_1110,59.7608296339,English,001,r09,
feth_foth_fleth.wav,CO/A,feth and foth           feth and fleth,R,a,0,20,20,19,,,3,3.566,2019_Jan_30_1110,59.7608296339,English,001,r09,
siff_sliff_saff.wav,CO/A,siff and sliff           siff and saff,L,h,0,21,21,12,,,5,4.004,2019_Jan_30_1110,59.7608296339,English,001,r09,
fep_flep_kep.wav,R/CO,fep and flep           fep and kep,R,none,0,22,22,21,,,3,7.39,2019_Jan_30_1110,59.7608296339,English,001,r09,
siff_piff_sliff.wav,R/CO,siff and piff           siff and sliff,L,none,0,23,23,22,,,3,3.068,2019_Jan_30_1110,59.7608296339,English,001,r09,
sith_sath_tith.wav,R/A,sith and sath           sith and tith,R,h,0,24,24,8,,,3,4.265,2019_Jan_30_1110,59.7608296339,English,001,r09,
sem_som_slem.wav,CO/A,sem and som           sem and slem,R,a,0,25,25,13,,,2,4.264,2019_Jan_30_1110,59.7608296339,English,001,r09,
sem_tem_som.wav,R/A,sem and tem           sem and som,L,a,0,26,26,3,,,4,5.804,2019_Jan_30_1110,59.7608296339,English,001,r09,
sith_tith_slith.wav,R/CO,sith and tith           sith and slith,L,none,0,27,27,28,,,3,2.924,2019_Jan_30_1110,59.7608296339,English,001,r09,
sitch_smitch_satch.wav,CO/A,sitch and smitch           sitch and satch,L,h,0,28,28,14,,,4,5.624,2019_Jan_30_1110,59.7608296339,English,001,r09,
siz_saz_piz.wav,R/A,siz and saz           siz and piz,R,h,0,29,29,6,,,2,6.049,2019_Jan_30_1110,59.7608296339,English,001,r09,
