sound,rule,binomials,predicted_order,vowel,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,key_resp_3.keys,key_resp_3.rt,rating.response,rating.rt,date,frameRate,expName,session,participant,
,,,,,,,,,space,4.81448991661,,,2018_Nov_15_1735,59.8975195111,English,001,r4,
siz_piz_stiz.wav,R/CO,siz and piz           siz and stiz,L,none,0,0,0,26,,,2,8.209,2018_Nov_15_1735,59.8975195111,English,001,r4,
sith_tith_slith.wav,R/CO,sith and tith           sith and slith,L,none,0,1,1,28,,,4,7.119,2018_Nov_15_1735,59.8975195111,English,001,r4,
shiz_kiz_shriz.wav,R/CO,shiz and kiz           shiz and shriz,L,none,0,2,2,20,,,1,5.809,2018_Nov_15_1735,59.8975195111,English,001,r4,
fep_kep_fop.wav,R/A,fep and kep           fep and fop,L,a,0,3,3,1,,,5,5.357,2018_Nov_15_1735,59.8975195111,English,001,r4,
fev_kev_fov.wav,R/A,fev and kev           fev and fov,L,a,0,4,4,5,,,4,7.676,2018_Nov_15_1735,59.8975195111,English,001,r4,
feth_fleth_teth.wav,R/CO,feth and fleth           feth and teth,R,none,0,5,5,29,,,2,8.833,2018_Nov_15_1735,59.8975195111,English,001,r4,
sitch_smitch_satch.wav,CO/A,sitch and smitch           sitch and satch,L,h,0,6,6,14,,,2,7.605,2018_Nov_15_1735,59.8975195111,English,001,r4,
siff_saff_piff.wav,R/A,siff and saff           siff and piff,R,h,0,7,7,2,,,2,6.193,2018_Nov_15_1735,59.8975195111,English,001,r4,
siz_saz_piz.wav,R/A,siz and saz           siz and piz,R,h,0,8,8,6,,,3,5.581,2018_Nov_15_1735,59.8975195111,English,001,r4,
fev_flev_kev.wav,R/CO,fev and flev           fev and kev,R,none,0,9,9,25,,,1,8.901,2018_Nov_15_1735,59.8975195111,English,001,r4,
fev_fov_flev.wav,CO/A,fev and fov           fev and flev,R,a,0,10,10,15,,,2,6.259,2018_Nov_15_1735,59.8975195111,English,001,r4,
shiz_shriz_shaz.wav,CO/A,shiz and shriz           shiz and shaz,L,h,0,11,11,10,,,1,6.713,2018_Nov_15_1735,59.8975195111,English,001,r4,
thep_threp_tep.wav,R/CO,thep and threp           thep and tep,R,none,0,12,12,27,,,6,5.745,2018_Nov_15_1735,59.8975195111,English,001,r4,
shiz_shaz_kiz.wav,R/A,shiz and shaz           shiz and kiz,R,h,0,13,13,0,,,1,4.942,2018_Nov_15_1735,59.8975195111,English,001,r4,
sem_slem_tem.wav,R/CO,sem and slem           sem and tem,R,none,0,14,14,23,,,4,5.976,2018_Nov_15_1735,59.8975195111,English,001,r4,
sitch_kitch_smitch.wav,R/CO,sitch and kitch           sitch and smitch,L,none,0,15,15,24,,,2,5.802,2018_Nov_15_1735,59.8975195111,English,001,r4,
feth_foth_fleth.wav,CO/A,feth and foth           feth and fleth,R,a,0,16,16,19,,,3,4.707,2018_Nov_15_1735,59.8975195111,English,001,r4,
thep_thop_threp.wav,CO/A,thep and thop           thep and threp,R,a,0,17,17,17,,,1,4.324,2018_Nov_15_1735,59.8975195111,English,001,r4,
sith_sath_tith.wav,R/A,sith and sath           sith and tith,R,h,0,18,18,8,,,2,3.642,2018_Nov_15_1735,59.8975195111,English,001,r4,
sith_slith_sath.wav,CO/A,sith and slith           sith and sath,L,h,0,19,19,18,,,2,3.889,2018_Nov_15_1735,59.8975195111,English,001,r4,
siz_stiz_saz.wav,CO/A,siz and stiz           siz and saz,L,h,0,20,20,16,,,5,8.206,2018_Nov_15_1735,59.8975195111,English,001,r4,
fep_fop_flep.wav,CO/A,fep and fop           fep and flep,R,a,0,21,21,11,,,1,4.012,2018_Nov_15_1735,59.8975195111,English,001,r4,
siff_sliff_saff.wav,CO/A,siff and sliff           siff and saff,L,h,0,22,22,12,,,6,4.64,2018_Nov_15_1735,59.8975195111,English,001,r4,
feth_teth_foth.wav,R/A,feth and teth           feth and foth,L,a,0,23,23,9,,,4,6.487,2018_Nov_15_1735,59.8975195111,English,001,r4,
thep_tep_thop.wav,R/A,thep and tep           thep and thop,L,a,0,24,24,7,,,4,5.23,2018_Nov_15_1735,59.8975195111,English,001,r4,
sitch_satch_kitch.wav,R/A,sitch and satch           sitch and kitch,R,h,0,25,25,4,,,2,5.701,2018_Nov_15_1735,59.8975195111,English,001,r4,
sem_som_slem.wav,CO/A,sem and som           sem and slem,R,a,0,26,26,13,,,2,3.841,2018_Nov_15_1735,59.8975195111,English,001,r4,
sem_tem_som.wav,R/A,sem and tem           sem and som,L,a,0,27,27,3,,,5,5.857,2018_Nov_15_1735,59.8975195111,English,001,r4,
fep_flep_kep.wav,R/CO,fep and flep           fep and kep,R,none,0,28,28,21,,,3,7.597,2018_Nov_15_1735,59.8975195111,English,001,r4,
siff_piff_sliff.wav,R/CO,siff and piff           siff and sliff,L,none,0,29,29,22,,,2,3.606,2018_Nov_15_1735,59.8975195111,English,001,r4,
