sound,rule,binomials,predicted_order,vowel,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,key_resp_3.keys,key_resp_3.rt,rating.response,rating.rt,date,frameRate,expName,session,participant,
,,,,,,,,,space,5.49176790738,,,2018_Nov_15_1402,60.0090125368,English,001,r3,
fep_kep_fop.wav,R/A,fep and kep           fep and fop,L,a,0,0,0,1,,,5,6.724,2018_Nov_15_1402,60.0090125368,English,001,r3,
sitch_smitch_satch.wav,CO/A,sitch and smitch           sitch and satch,L,h,0,1,1,14,,,1,7.535,2018_Nov_15_1402,60.0090125368,English,001,r3,
fep_fop_flep.wav,CO/A,fep and fop           fep and flep,R,a,0,2,2,11,,,2,6.243,2018_Nov_15_1402,60.0090125368,English,001,r3,
sith_slith_sath.wav,CO/A,sith and slith           sith and sath,L,h,0,3,3,18,,,6,6.79,2018_Nov_15_1402,60.0090125368,English,001,r3,
shiz_kiz_shriz.wav,R/CO,shiz and kiz           shiz and shriz,L,none,0,4,4,20,,,6,7.429,2018_Nov_15_1402,60.0090125368,English,001,r3,
siff_sliff_saff.wav,CO/A,siff and sliff           siff and saff,L,h,0,5,5,12,,,1,6.798,2018_Nov_15_1402,60.0090125368,English,001,r3,
siff_saff_piff.wav,R/A,siff and saff           siff and piff,R,h,0,6,6,2,,,2,7.155,2018_Nov_15_1402,60.0090125368,English,001,r3,
fev_kev_fov.wav,R/A,fev and kev           fev and fov,L,a,0,7,7,5,,,3,7.011,2018_Nov_15_1402,60.0090125368,English,001,r3,
siz_piz_stiz.wav,R/CO,siz and piz           siz and stiz,L,none,0,8,8,26,,,4,8.196,2018_Nov_15_1402,60.0090125368,English,001,r3,
sem_slem_tem.wav,R/CO,sem and slem           sem and tem,R,none,0,9,9,23,,,3,7.616,2018_Nov_15_1402,60.0090125368,English,001,r3,
fep_flep_kep.wav,R/CO,fep and flep           fep and kep,R,none,0,10,10,21,,,2,7.158,2018_Nov_15_1402,60.0090125368,English,001,r3,
sem_tem_som.wav,R/A,sem and tem           sem and som,L,a,0,11,11,3,,,4,7.564,2018_Nov_15_1402,60.0090125368,English,001,r3,
fev_fov_flev.wav,CO/A,fev and fov           fev and flev,R,a,0,12,12,15,,,3,7.24,2018_Nov_15_1402,60.0090125368,English,001,r3,
thep_thop_threp.wav,CO/A,thep and thop           thep and threp,R,a,0,13,13,17,,,4,10.376,2018_Nov_15_1402,60.0090125368,English,001,r3,
thep_tep_thop.wav,R/A,thep and tep           thep and thop,L,a,0,14,14,7,,,4,8.445,2018_Nov_15_1402,60.0090125368,English,001,r3,
feth_foth_fleth.wav,CO/A,feth and foth           feth and fleth,R,a,0,15,15,19,,,4,12.567,2018_Nov_15_1402,60.0090125368,English,001,r3,
feth_teth_foth.wav,R/A,feth and teth           feth and foth,L,a,0,16,16,9,,,4,9.42,2018_Nov_15_1402,60.0090125368,English,001,r3,
shiz_shaz_kiz.wav,R/A,shiz and shaz           shiz and kiz,R,h,0,17,17,0,,,2,6.719,2018_Nov_15_1402,60.0090125368,English,001,r3,
thep_threp_tep.wav,R/CO,thep and threp           thep and tep,R,none,0,18,18,27,,,2,6.952,2018_Nov_15_1402,60.0090125368,English,001,r3,
sem_som_slem.wav,CO/A,sem and som           sem and slem,R,a,0,19,19,13,,,1,6.809,2018_Nov_15_1402,60.0090125368,English,001,r3,
siz_saz_piz.wav,R/A,siz and saz           siz and piz,R,h,0,20,20,6,,,2,7.327,2018_Nov_15_1402,60.0090125368,English,001,r3,
sitch_satch_kitch.wav,R/A,sitch and satch           sitch and kitch,R,h,0,21,21,4,,,2,6.2,2018_Nov_15_1402,60.0090125368,English,001,r3,
feth_fleth_teth.wav,R/CO,feth and fleth           feth and teth,R,none,0,22,22,29,,,3,7.215,2018_Nov_15_1402,60.0090125368,English,001,r3,
siz_stiz_saz.wav,CO/A,siz and stiz           siz and saz,L,h,0,23,23,16,,,3,8.081,2018_Nov_15_1402,60.0090125368,English,001,r3,
sith_sath_tith.wav,R/A,sith and sath           sith and tith,R,h,0,24,24,8,,,3,9.967,2018_Nov_15_1402,60.0090125368,English,001,r3,
sith_tith_slith.wav,R/CO,sith and tith           sith and slith,L,none,0,25,25,28,,,4,6.94,2018_Nov_15_1402,60.0090125368,English,001,r3,
fev_flev_kev.wav,R/CO,fev and flev           fev and kev,R,none,0,26,26,25,,,5,7.475,2018_Nov_15_1402,60.0090125368,English,001,r3,
siff_piff_sliff.wav,R/CO,siff and piff           siff and sliff,L,none,0,27,27,22,,,4,10.647,2018_Nov_15_1402,60.0090125368,English,001,r3,
shiz_shriz_shaz.wav,CO/A,shiz and shriz           shiz and shaz,L,h,0,28,28,10,,,2,7.172,2018_Nov_15_1402,60.0090125368,English,001,r3,
sitch_kitch_smitch.wav,R/CO,sitch and kitch           sitch and smitch,L,none,0,29,29,24,,,4,7.497,2018_Nov_15_1402,60.0090125368,English,001,r3,
