sound,predicted_order,structure,binomials,misc,rule,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials_3.thisRepN,trials_3.thisTrialN,trials_3.thisN,trials_3.thisIndex,key_resp_2.keys,key_resp_2.rt,rating.response,rating.rt,rating_2.response,rating_2.rt,date,frameRate,expName,session,participant
,,,,,,,,,,,,,,space,10.9929551,,,,,2016_Feb_12_1018,32.04846913,binobino,1,r305
C:\Users\viola\Desktop\FR_GHM\tiboufetiboufre.wav,L,red,tiboufe-tiboufre           tiboufre-tiboufe,fr,FCN,0,0,0,52,,,,,,,5,13.532,,,2016_Feb_12_1018,32.04846913,binobino,1,r305
C:\Users\viola\Desktop\FR_GHM\vulpontevulpotte.wav,R,conj,ni vulponte ni vulpotte         ni vulpotte ni vulponte,cl,VN,0,1,1,28,,,,,,,5,11.478,,,2016_Feb_12_1018,32.04846913,binobino,1,r305
C:\Users\viola\Desktop\FR_GHM\fuglatefuglite.wav,R,conj,ni fuglate ni fuglite               ni fuglite ni fuglate,h,VQ,0,2,2,36,,,,,,,5,10.802,,,2016_Feb_12_1018,32.04846913,binobino,1,r305
C:\Users\viola\Desktop\FR_GHM\ranietteraniotte.wav,L,red,raniette-raniotte        raniotte-raniette,a,VQ,0,3,3,33,,,,,,,5,9.238,,,2016_Feb_12_1018,32.04846913,binobino,1,r305
C:\Users\viola\Desktop\FR_GHM\chipanechipague.wav,R,red,chipane-chipague     chipague-chipane,same,FS,0,4,4,13,,,,,,,2,12.17,,,2016_Feb_12_1018,32.04846913,binobino,1,r305
C:\Users\viola\Desktop\FR_GHM\trivaipetivaipe.wav,R,conj,ni trivaipe ni tivaipe            ni tivaipe ni trivaipe,nan,ICN,0,5,5,45,,,,,,,3,25.11,,,2016_Feb_12_1018,32.04846913,binobino,1,r305
C:\Users\viola\Desktop\FR_GHM\cadaillecadape.wav,R,conj,ni cadaille ni cadape           ni cadape ni cadaille,diff,FS,0,6,6,17,,,,,,,3,11.278,,,2016_Feb_12_1018,32.04846913,binobino,1,r305
C:\Users\viola\Desktop\FR_GHM\plirotpirot.wav,R,conj,ni plirot ni pirot                  ni pirot ni plirot,nan,ICN,0,7,7,47,,,,,,,3,11.08,,,2016_Feb_12_1018,32.04846913,binobino,1,r305
C:\Users\viola\Desktop\FR_GHM\plamotteplamette.wav,R,conj,ni plamotte ni plamette       ni plamette ni plamotte,a,VQ,0,8,8,39,,,,,,,1,11.083,,,2016_Feb_12_1018,32.04846913,binobino,1,r305
C:\Users\viola\Desktop\FR_GHM\rataferatalle.wav,L,red,ratafe-ratalle             ratalle-ratafe,same,FS,0,9,9,14,,,,,,,5,10.602,,,2016_Feb_12_1018,32.04846913,binobino,1,r305
C:\Users\viola\Desktop\FR_GHM\rupottetupotte.wav,L,red,rupotte-tupotte          tupotte-rupotte,diff,IS,0,10,10,1,,,,,,,6,10.312,,,2016_Feb_12_1018,32.04846913,binobino,1,r305
