sound,predicted_order,structure,binomials,misc,rule,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials_3.thisRepN,trials_3.thisTrialN,trials_3.thisN,trials_3.thisIndex,key_resp_2.keys,key_resp_2.rt,rating.response,rating.rt,rating_2.response,rating_2.rt,date,frameRate,expName,session,participant
,,,,,,,,,,,,,,space,12.63134181,,,,,2016_Feb_24_1520,31.99841327,binobino,1,r315
C:\Users\viola\Desktop\FR_GHM\tilafretilafe.wav,R,conj,ni tilafre ni tilafe                 ni tilafe ni tilafre,fr,FCN,0,0,0,59,,,,,,,2,16.381,,,2016_Feb_24_1520,31.99841327,binobino,1,r315
C:\Users\viola\Desktop\FR_GHM\cadaillecadape.wav,R,conj,ni cadaille ni cadape           ni cadape ni cadaille,diff,FS,0,1,1,17,,,,,,,5,9.586,,,2016_Feb_24_1520,31.99841327,binobino,1,r315
C:\Users\viola\Desktop\FR_GHM\dalaifredalaife.wav,R,conj,ni dalaifre ni dalaife            ni dalaife ni dalaifre,fr,FCN,0,2,2,57,,,,,,,2,21.074,,,2016_Feb_24_1520,31.99841327,binobino,1,r315
C:\Users\viola\Desktop\FR_GHM\ladacladacte.wav,L,conj,ni ladac ni ladacte             ni ladacte ni ladac,stop,FCN,0,3,3,56,,,,,,,4,29.158,,,2016_Feb_24_1520,31.99841327,binobino,1,r315
C:\Users\viola\Desktop\FR_GHM\ganoucteganouc.wav,R,red,ganoucte-ganouc       ganouc-ganoucte,stop,FCN,0,4,4,53,,,,,,,3,18.894,,,2016_Feb_24_1520,31.99841327,binobino,1,r315
C:\Users\viola\Desktop\FR_GHM\plirotpirot.wav,R,conj,ni plirot ni pirot                  ni pirot ni plirot,nan,ICN,0,5,5,47,,,,,,,1,10.999,,,2016_Feb_24_1520,31.99841327,binobino,1,r315
C:\Users\viola\Desktop\FR_GHM\trivaipetivaipe.wav,R,conj,ni trivaipe ni tivaipe            ni tivaipe ni trivaipe,nan,ICN,0,6,6,45,,,,,,,3,24.053,,,2016_Feb_24_1520,31.99841327,binobino,1,r315
C:\Users\viola\Desktop\FR_GHM\clatifeclatafe.wav,L,red,clatife-clatafe            clatafe-clatife,h,VQ,0,7,7,34,,,,,,,1,25.758,,,2016_Feb_24_1520,31.99841327,binobino,1,r315
C:\Users\viola\Desktop\FR_GHM\calitecalate.wav,L,red,calite-calate             calate-calite,h,VQ,0,8,8,30,,,,,,,2,18.326,,,2016_Feb_24_1520,31.99841327,binobino,1,r315
C:\Users\viola\Desktop\FR_GHM\sapaiquesapoque.wav,L,conj,ni sapaique ni sapoque       ni sapoque ni sapaique,a,VQ,0,9,9,37,,,,,,,4,21.695,,,2016_Feb_24_1520,31.99841327,binobino,1,r315
C:\Users\viola\Desktop\FR_GHM\plamotteplamette.wav,R,conj,ni plamotte ni plamette       ni plamette ni plamotte,a,VQ,0,10,10,39,,,,,,,2,50.975,,,2016_Feb_24_1520,31.99841327,binobino,1,r315
C:\Users\viola\Desktop\FR_GHM\goudintegoudette.wav,R,red,goudinte-goudette     goudette-goudinte,cl,VN,0,11,11,20,,,,,,,2,13.611,,,2016_Feb_24_1520,31.99841327,binobino,1,r315
C:\Users\viola\Desktop\FR_GHM\cralontecralotte.wav,R,red,cralonte-cralotte        cralotte-cralonte,cl,VN,0,12,12,24,,,,,,,4,9.98,,,2016_Feb_24_1520,31.99841327,binobino,1,r315
C:\Users\viola\Desktop\FR_GHM\padafepadafre.wav,L,red,padafe-padafre           padafre-padafe  ,fr,FCN,0,13,13,50,,,,,,,1,11.04,,,2016_Feb_24_1520,31.99841327,binobino,1,r315
C:\Users\viola\Desktop\FR_GHM\brezouillebezouille.wav,R,red,brezouille-bezouille    bezouille-brezouille,nan,ICN,0,14,14,43,,,,,,,5,12.407,,,2016_Feb_24_1520,31.99841327,binobino,1,r315
C:\Users\viola\Desktop\FR_GHM\fomaigeflomaige.wav,L,conj,ni fomaige ni flomaige        ni flomaige ni fomaige,nan,ICN,0,15,15,46,,,,,,,4,12.414,,,2016_Feb_24_1520,31.99841327,binobino,1,r315
C:\Users\viola\Desktop\FR_GHM\capaiccapaicte.wav,L,conj,ni capaic ni capaicte          ni capaicte ni capaic,stop,FCN,0,16,16,58,,,,,,,5,24.759,,,2016_Feb_24_1520,31.99841327,binobino,1,r315
C:\Users\viola\Desktop\FR_GHM\codellecrodelle.wav,L,red,codelle-crodelle         crodelle-codelle,nan,ICN,0,17,17,40,,,,,,,2,14.83,,,2016_Feb_24_1520,31.99841327,binobino,1,r315
C:\Users\viola\Desktop\FR_GHM\gouvactegouvac.wav,R,conj,ni gouvacte ni gouvac         ni gouvac ni gouvacte,stop,FCN,0,18,18,55,,,,,,,5,40.741,,,2016_Feb_24_1520,31.99841327,binobino,1,r315
C:\Users\viola\Desktop\FR_GHM\livottedivotte.wav,L,conj,ni livotte ni divotte               ni divotte ni livotte,diff,IS,0,19,19,8,,,,,,,3,30.517,,,2016_Feb_24_1520,31.99841327,binobino,1,r315
C:\Users\viola\Desktop\FR_GHM\trapiletrapale.wav,L,conj,ni trapile ni trapale              ni trapale ni trapile,h,VQ,0,20,20,38,,,,,,,5,10.298,,,2016_Feb_24_1520,31.99841327,binobino,1,r315
C:\Users\viola\Desktop\FR_GHM\fuglatefuglite.wav,R,conj,ni fuglate ni fuglite               ni fuglite ni fuglate,h,VQ,0,21,21,36,,,,,,,1,12.97,,,2016_Feb_24_1520,31.99841327,binobino,1,r315
C:\Users\viola\Desktop\FR_GHM\rupottetupotte.wav,L,red,rupotte-tupotte          tupotte-rupotte,diff,IS,0,22,22,1,,,,,,,2,12.613,,,2016_Feb_24_1520,31.99841327,binobino,1,r315
C:\Users\viola\Desktop\FR_GHM\ranietteraniotte.wav,L,red,raniette-raniotte        raniotte-raniette,a,VQ,0,23,23,33,,,,,,,2,10.96,,,2016_Feb_24_1520,31.99841327,binobino,1,r315
C:\Users\viola\Desktop\FR_GHM\cazibecazille.wav,L,red,cazibe-cazille           cazille-cazibe,diff,FS,0,24,24,10,,,,,,,2,11.461,,,2016_Feb_24_1520,31.99841327,binobino,1,r315
C:\Users\viola\Desktop\FR_GHM\traplintetraplette.wav,R,conj,ni traplinte ni traplette         ni traplette ni traplinte,cl,VN,0,25,25,26,,,,,,,4,46.836,,,2016_Feb_24_1520,31.99841327,binobino,1,r315
C:\Users\viola\Desktop\FR_GHM\gavaipemavaipe.wav,R,conj,ni gavaipe ni mavaipe          ni mavaipe ni gavaipe,same,IS,0,26,26,7,,,,,,,4,20.765,,,2016_Feb_24_1520,31.99841327,binobino,1,r315
C:\Users\viola\Desktop\FR_GHM\ranaidecanaide.wav,L,conj,ni ranaide ni canaide           ni canaide ni ranaide,diff,IS,0,27,27,6,,,,,,,5,12.374,,,2016_Feb_24_1520,31.99841327,binobino,1,r315
C:\Users\viola\Desktop\FR_GHM\rataferatalle.wav,L,red,ratafe-ratalle             ratalle-ratafe,same,FS,0,28,28,14,,,,,,,3,29.848,,,2016_Feb_24_1520,31.99841327,binobino,1,r315
C:\Users\viola\Desktop\FR_GHM\madetgadet.wav,L,red,madet-gadet            gadet-madet,same,IS,0,29,29,4,,,,,,,6,10.987,,,2016_Feb_24_1520,31.99841327,binobino,1,r315
C:\Users\viola\Desktop\FR_GHM\loubotteloubette.wav,R,red,loubotte-loubette       loubette-loubotte,a,VQ,0,30,30,31,,,,,,,5,17.249,,,2016_Feb_24_1520,31.99841327,binobino,1,r315
C:\Users\viola\Desktop\FR_GHM\coubadecoubaille.wav,L,conj,ni coubade ni coubaille       ni coubaille ni coubade,diff,FS,0,31,31,16,,,,,,,2,11.419,,,2016_Feb_24_1520,31.99841327,binobino,1,r315
C:\Users\viola\Desktop\FR_GHM\tuguettruguet.wav,L,red,tuguet-truguet            truguet-tuguet,nan,ICN,0,32,32,44,,,,,,,1,11.547,,,2016_Feb_24_1520,31.99841327,binobino,1,r315
C:\Users\viola\Desktop\FR_GHM\guinotterinotte.wav,R,red,guinotte-rinotte         rinotte-guinotte,diff,IS,0,33,33,3,,,,,,,1,9.766,,,2016_Feb_24_1520,31.99841327,binobino,1,r315
C:\Users\viola\Desktop\FR_GHM\talaiquetalaime.wav,L,red,talaique-talaime        talaime-talaique        ,same,FS,0,34,34,12,,,,,,,4,36.814,,,2016_Feb_24_1520,31.99841327,binobino,1,r315
C:\Users\viola\Desktop\FR_GHM\raffotteraffette.wav,R,conj,ni raffotte ni raffette             ni raffette ni raffotte,a,VQ,0,35,35,35,,,,,,,2,18.403,,,2016_Feb_24_1520,31.99841327,binobino,1,r315
C:\Users\viola\Desktop\FR_GHM\bicafebicafre.wav,L,red,bicafe-bicafre             bicafre-bicafe,fr,FCN,0,36,36,54,,,,,,,3,16.293,,,2016_Feb_24_1520,31.99841327,binobino,1,r315
C:\Users\viola\Desktop\FR_GHM\stolastolan.wav,L,conj,ni stola ni stolan                ni stolan ni stola,op,VN,0,37,37,25,,,,,,,3,18.141,,,2016_Feb_24_1520,31.99841327,binobino,1,r315
