sound,predicted_order,structure,binomials,misc,rule,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials_3.thisRepN,trials_3.thisTrialN,trials_3.thisN,trials_3.thisIndex,key_resp_2.keys,key_resp_2.rt,rating.response,rating.rt,rating_2.response,rating_2.rt,date,frameRate,expName,session,participant
,,,,,,,,,,,,,,space,23.62656494,,,,,2016_Feb_16_1711,31.9998306,binobino,1,r308
C:\Users\viola\Desktop\FR_GHM\rupottetupotte.wav,L,red,rupotte-tupotte          tupotte-rupotte,diff,IS,0,0,0,1,,,,,,,3,11.475,,,2016_Feb_16_1711,31.9998306,binobino,1,r308
C:\Users\viola\Desktop\FR_GHM\talaiquetalaime.wav,L,red,talaique-talaime        talaime-talaique        ,same,FS,0,1,1,12,,,,,,,4,12.235,,,2016_Feb_16_1711,31.9998306,binobino,1,r308
C:\Users\viola\Desktop\FR_GHM\ladacladacte.wav,L,conj,ni ladac ni ladacte             ni ladacte ni ladac,stop,FCN,0,2,2,56,,,,,,,2,17.469,,,2016_Feb_16_1711,31.9998306,binobino,1,r308
C:\Users\viola\Desktop\FR_GHM\salainestalaine.wav,L,red,salaine-stalaine         stalaine-salaine,nan,ICN,0,3,3,42,,,,,,,4,11.332,,,2016_Feb_16_1711,31.9998306,binobino,1,r308
C:\Users\viola\Desktop\FR_GHM\brezouillebezouille.wav,R,red,brezouille-bezouille    bezouille-brezouille,nan,ICN,0,4,4,43,,,,,,,6,7.685,,,2016_Feb_16_1711,31.9998306,binobino,1,r308
C:\Users\viola\Desktop\FR_GHM\tilafretilafe.wav,R,conj,ni tilafre ni tilafe                 ni tilafe ni tilafre,fr,FCN,0,5,5,59,,,,,,,6,10.518,,,2016_Feb_16_1711,31.9998306,binobino,1,r308
C:\Users\viola\Desktop\FR_GHM\cralontecralotte.wav,R,red,cralonte-cralotte        cralotte-cralonte,cl,VN,0,6,6,24,,,,,,,5,7.567,,,2016_Feb_16_1711,31.9998306,binobino,1,r308
C:\Users\viola\Desktop\FR_GHM\tipametipague.wav,R,conj,ni tipame ni tipague            ni tipague ni tipame,same,FS,0,7,7,19,,,,,,,5,15.443,,,2016_Feb_16_1711,31.9998306,binobino,1,r308
C:\Users\viola\Desktop\FR_GHM\traplintetraplette.wav,R,conj,ni traplinte ni traplette         ni traplette ni traplinte,cl,VN,0,8,8,26,,,,,,,1,8.104,,,2016_Feb_16_1711,31.9998306,binobino,1,r308
C:\Users\viola\Desktop\FR_GHM\ranaidecanaide.wav,L,conj,ni ranaide ni canaide           ni canaide ni ranaide,diff,IS,0,9,9,6,,,,,,,5,11.122,,,2016_Feb_16_1711,31.9998306,binobino,1,r308
C:\Users\viola\Desktop\FR_GHM\coubadecoubaille.wav,L,conj,ni coubade ni coubaille       ni coubaille ni coubade,diff,FS,0,10,10,16,,,,,,,2,10.849,,,2016_Feb_16_1711,31.9998306,binobino,1,r308
C:\Users\viola\Desktop\FR_GHM\cadaillecadape.wav,R,conj,ni cadaille ni cadape           ni cadape ni cadaille,diff,FS,0,11,11,17,,,,,,,2,12.716,,,2016_Feb_16_1711,31.9998306,binobino,1,r308
C:\Users\viola\Desktop\FR_GHM\chavintechavette.wav,R,red,chavinte-chavette      chavette-chavinte,cl,VN,0,12,12,22,,,,,,,4,12.884,,,2016_Feb_16_1711,31.9998306,binobino,1,r308
C:\Users\viola\Desktop\FR_GHM\stolastolan.wav,L,conj,ni stola ni stolan                ni stolan ni stola,op,VN,0,13,13,25,,,,,,,5,9.422,,,2016_Feb_16_1711,31.9998306,binobino,1,r308
C:\Users\viola\Desktop\FR_GHM\chouvetrouvet.wav,R,conj,ni chouvet ni rouvet             ni rouvet ni chouvet,same,IS,0,14,14,9,,,,,,,5,7.312,,,2016_Feb_16_1711,31.9998306,binobino,1,r308
C:\Users\viola\Desktop\FR_GHM\gavaipemavaipe.wav,R,conj,ni gavaipe ni mavaipe          ni mavaipe ni gavaipe,same,IS,0,15,15,7,,,,,,,4,19.777,,,2016_Feb_16_1711,31.9998306,binobino,1,r308
