sound,predicted_order,structure,binomials,misc,rule,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials_3.thisRepN,trials_3.thisTrialN,trials_3.thisN,trials_3.thisIndex,key_resp_2.keys,key_resp_2.rt,rating.response,rating.rt,rating_2.response,rating_2.rt,date,frameRate,expName,session,participant
,,,,,,,,,,,,,,space,12.0475523,,,,,2016_Feb_18_1530,31.93513497,binobino,1,r309
C:\Users\viola\Desktop\FR_GHM\talaiquetalaime.wav,L,red,talaique-talaime        talaime-talaique        ,same,FS,0,0,0,12,,,,,,,4,8.533,,,2016_Feb_18_1530,31.93513497,binobino,1,r309
C:\Users\viola\Desktop\FR_GHM\calitecalate.wav,L,red,calite-calate             calate-calite,h,VQ,0,1,1,30,,,,,,,4,5.639,,,2016_Feb_18_1530,31.93513497,binobino,1,r309
C:\Users\viola\Desktop\FR_GHM\ladacladacte.wav,L,conj,ni ladac ni ladacte             ni ladacte ni ladac,stop,FCN,0,2,2,56,,,,,,,1,5.437,,,2016_Feb_18_1530,31.93513497,binobino,1,r309
C:\Users\viola\Desktop\FR_GHM\tidatidan.wav,L,red,tida-tidan                  tidan-tida,op,VN,0,3,3,21,,,,,,,2,4.605,,,2016_Feb_18_1530,31.93513497,binobino,1,r309
C:\Users\viola\Desktop\FR_GHM\fluponfupon.wav,R,red,flupon-fupon              fupon-flupon,nan,ICN,0,4,4,41,,,,,,,5,6.76,,,2016_Feb_18_1530,31.93513497,binobino,1,r309
C:\Users\viola\Desktop\FR_GHM\taguelague.wav,R,red,taguet-laguet            laguet-taguet,diff,IS,0,5,5,2,,,,,,,1,4.185,,,2016_Feb_18_1530,31.93513497,binobino,1,r309
C:\Users\viola\Desktop\FR_GHM\goudintegoudette.wav,R,red,goudinte-goudette     goudette-goudinte,cl,VN,0,6,6,20,,,,,,,5,6.024,,,2016_Feb_18_1530,31.93513497,binobino,1,r309
C:\Users\viola\Desktop\FR_GHM\gonaisgonin.wav,L,red,gonais-gonin             gonin-gonais,op,VN,0,7,7,23,,,,,,,1,4.38,,,2016_Feb_18_1530,31.93513497,binobino,1,r309
C:\Users\viola\Desktop\FR_GHM\cadaillecadape.wav,R,conj,ni cadaille ni cadape           ni cadape ni cadaille,diff,FS,0,8,8,17,,,,,,,1,6.152,,,2016_Feb_18_1530,31.93513497,binobino,1,r309
C:\Users\viola\Desktop\FR_GHM\rinoulerinoupe.wav,R,red,rinoule-rinoupe          rinoupe-rinoule,diff,FS,0,9,9,11,,,,,,,5,5.164,,,2016_Feb_18_1530,31.93513497,binobino,1,r309
C:\Users\viola\Desktop\FR_GHM\stolastolan.wav,L,conj,ni stola ni stolan                ni stolan ni stola,op,VN,0,10,10,25,,,,,,,4,4.38,,,2016_Feb_18_1530,31.93513497,binobino,1,r309
