sound,predicted_order,structure,binomials,misc,rule,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials_3.thisRepN,trials_3.thisTrialN,trials_3.thisN,trials_3.thisIndex,key_resp_2.keys,key_resp_2.rt,rating.response,rating.rt,rating_2.response,rating_2.rt,date,frameRate,expName,session,participant
,,,,,,,,,,,,,,space,13.84169598,,,,,2016_Feb_19_1707,31.99264154,binobino,1,r311
C:\Users\viola\Desktop\FR_GHM\ladacladacte.wav,L,conj,ni ladac ni ladacte             ni ladacte ni ladac,stop,FCN,0,0,0,56,,,,,,,1,23.068,,,2016_Feb_19_1707,31.99264154,binobino,1,r311
C:\Users\viola\Desktop\FR_GHM\flitaflitan.wav,L,conj,ni flita ni flitan                    ni flitan ni flita,op,VN,0,1,1,29,,,,,,,1,9.817,,,2016_Feb_19_1707,31.99264154,binobino,1,r311
C:\Users\viola\Desktop\FR_GHM\davaisdavain.wav,L,conj,ni davais ni davain              ni davain ni davais,op,VN,0,2,2,27,,,,,,,5,10.702,,,2016_Feb_19_1707,31.99264154,binobino,1,r311
C:\Users\viola\Desktop\FR_GHM\clavrercavrer.wav,R,conj,ni clavrer ni cavrer             ni cavrer ni clavrer,nan,ICN,0,3,3,49,,,,,,,5,12.022,,,2016_Feb_19_1707,31.99264154,binobino,1,r311
C:\Users\viola\Desktop\FR_GHM\tuguettruguet.wav,L,red,tuguet-truguet            truguet-tuguet,nan,ICN,0,4,4,44,,,,,,,2,15.075,,,2016_Feb_19_1707,31.99264154,binobino,1,r311
C:\Users\viola\Desktop\FR_GHM\stolastolan.wav,L,conj,ni stola ni stolan                ni stolan ni stola,op,VN,0,5,5,25,,,,,,,1,19.378,,,2016_Feb_19_1707,31.99264154,binobino,1,r311
C:\Users\viola\Desktop\FR_GHM\fomaigeflomaige.wav,L,conj,ni fomaige ni flomaige        ni flomaige ni fomaige,nan,ICN,0,6,6,46,,,,,,,5,21.493,,,2016_Feb_19_1707,31.99264154,binobino,1,r311
C:\Users\viola\Desktop\FR_GHM\noupetgoupet.wav,L,red,noupet-goupet          goupet-noupet,same,IS,0,7,7,0,,,,,,,2,14.165,,,2016_Feb_19_1707,31.99264154,binobino,1,r311
C:\Users\viola\Desktop\FR_GHM\loubotteloubette.wav,R,red,loubotte-loubette       loubette-loubotte,a,VQ,0,8,8,31,,,,,,,3,17.032,,,2016_Feb_19_1707,31.99264154,binobino,1,r311
C:\Users\viola\Desktop\FR_GHM\ranietteraniotte.wav,L,red,raniette-raniotte        raniotte-raniette,a,VQ,0,9,9,33,,,,,,,4,10.92,,,2016_Feb_19_1707,31.99264154,binobino,1,r311
C:\Users\viola\Desktop\FR_GHM\tilafretilafe.wav,R,conj,ni tilafre ni tilafe                 ni tilafe ni tilafre,fr,FCN,0,10,10,59,,,,,,,5,10.774,,,2016_Feb_19_1707,31.99264154,binobino,1,r311
C:\Users\viola\Desktop\FR_GHM\tipametipague.wav,R,conj,ni tipame ni tipague            ni tipague ni tipame,same,FS,0,11,11,19,,,,,,,5,11.406,,,2016_Feb_19_1707,31.99264154,binobino,1,r311
C:\Users\viola\Desktop\FR_GHM\livottedivotte.wav,L,conj,ni livotte ni divotte               ni divotte ni livotte,diff,IS,0,12,12,8,,,,,,,4,11.891,,,2016_Feb_19_1707,31.99264154,binobino,1,r311
C:\Users\viola\Desktop\FR_GHM\ridacteridac.wav,R,red,ridacte-ridac              ridac-ridacte,stop,FCN,0,13,13,51,,,,,,,5,10.208,,,2016_Feb_19_1707,31.99264154,binobino,1,r311
C:\Users\viola\Desktop\FR_GHM\cralontecralotte.wav,R,red,cralonte-cralotte        cralotte-cralonte,cl,VN,0,14,14,24,,,,,,,2,16.617,,,2016_Feb_19_1707,31.99264154,binobino,1,r311
C:\Users\viola\Desktop\FR_GHM\trivaipetivaipe.wav,R,conj,ni trivaipe ni tivaipe            ni tivaipe ni trivaipe,nan,ICN,0,15,15,45,,,,,,,3,11.717,,,2016_Feb_19_1707,31.99264154,binobino,1,r311
C:\Users\viola\Desktop\FR_GHM\tiboufetiboufre.wav,L,red,tiboufe-tiboufre           tiboufre-tiboufe,fr,FCN,0,16,16,52,,,,,,,5,13.562,,,2016_Feb_19_1707,31.99264154,binobino,1,r311
C:\Users\viola\Desktop\FR_GHM\tidatidan.wav,L,red,tida-tidan                  tidan-tida,op,VN,0,17,17,21,,,,,,,2,17.703,,,2016_Feb_19_1707,31.99264154,binobino,1,r311
C:\Users\viola\Desktop\FR_GHM\calitecalate.wav,L,red,calite-calate             calate-calite,h,VQ,0,18,18,30,,,,,,,2,15.266,,,2016_Feb_19_1707,31.99264154,binobino,1,r311
C:\Users\viola\Desktop\FR_GHM\trapiletrapale.wav,L,conj,ni trapile ni trapale              ni trapale ni trapile,h,VQ,0,19,19,38,,,,,,,5,11.042,,,2016_Feb_19_1707,31.99264154,binobino,1,r311
C:\Users\viola\Desktop\FR_GHM\davailedavaisse.wav,R,conj,ni davaile ni davaisse          ni davaisse ni davaile,same,FS,0,20,20,15,,,,,,,2,17.029,,,2016_Feb_19_1707,31.99264154,binobino,1,r311
C:\Users\viola\Desktop\FR_GHM\gouvactegouvac.wav,R,conj,ni gouvacte ni gouvac         ni gouvac ni gouvacte,stop,FCN,0,21,21,55,,,,,,,6,15.192,,,2016_Feb_19_1707,31.99264154,binobino,1,r311
C:\Users\viola\Desktop\FR_GHM\fuglatefuglite.wav,R,conj,ni fuglate ni fuglite               ni fuglite ni fuglate,h,VQ,0,22,22,36,,,,,,,6,9.521,,,2016_Feb_19_1707,31.99264154,binobino,1,r311
C:\Users\viola\Desktop\FR_GHM\ranaidecanaide.wav,L,conj,ni ranaide ni canaide           ni canaide ni ranaide,diff,IS,0,23,23,6,,,,,,,2,27.733,,,2016_Feb_19_1707,31.99264154,binobino,1,r311
C:\Users\viola\Desktop\FR_GHM\taguelague.wav,R,red,taguet-laguet            laguet-taguet,diff,IS,0,24,24,2,,,,,,,2,14.302,,,2016_Feb_19_1707,31.99264154,binobino,1,r311
C:\Users\viola\Desktop\FR_GHM\gonaisgonin.wav,L,red,gonais-gonin             gonin-gonais,op,VN,0,25,25,23,,,,,,,2,9.187,,,2016_Feb_19_1707,31.99264154,binobino,1,r311
C:\Users\viola\Desktop\FR_GHM\plirotpirot.wav,R,conj,ni plirot ni pirot                  ni pirot ni plirot,nan,ICN,0,26,26,47,,,,,,,5,9.722,,,2016_Feb_19_1707,31.99264154,binobino,1,r311
C:\Users\viola\Desktop\FR_GHM\madetgadet.wav,L,red,madet-gadet            gadet-madet,same,IS,0,27,27,4,,,,,,,5,8.59,,,2016_Feb_19_1707,31.99264154,binobino,1,r311
C:\Users\viola\Desktop\FR_GHM\coudincloudin.wav,L,conj,ni coudin ni cloudin           ni cloudin ni coudin,nan,ICN,0,28,28,48,,,,,,,5,11.058,,,2016_Feb_19_1707,31.99264154,binobino,1,r311
C:\Users\viola\Desktop\FR_GHM\fluponfupon.wav,R,red,flupon-fupon              fupon-flupon,nan,ICN,0,29,29,41,,,,,,,5,11.512,,,2016_Feb_19_1707,31.99264154,binobino,1,r311
C:\Users\viola\Desktop\FR_GHM\rinoulerinoupe.wav,R,red,rinoule-rinoupe          rinoupe-rinoule,diff,FS,0,30,30,11,,,,,,,2,16.084,,,2016_Feb_19_1707,31.99264154,binobino,1,r311
C:\Users\viola\Desktop\FR_GHM\dalaifredalaife.wav,R,conj,ni dalaifre ni dalaife            ni dalaife ni dalaifre,fr,FCN,0,31,31,57,,,,,,,6,13.76,,,2016_Feb_19_1707,31.99264154,binobino,1,r311
C:\Users\viola\Desktop\FR_GHM\rouzaperouzaille.wav,L,conj,ni rouzape ni rouzaille         ni rouzaille ni rouzape,diff,FS,0,32,32,18,,,,,,,2,13.039,,,2016_Feb_19_1707,31.99264154,binobino,1,r311
C:\Users\viola\Desktop\FR_GHM\cadaillecadape.wav,R,conj,ni cadaille ni cadape           ni cadape ni cadaille,diff,FS,0,33,33,17,,,,,,,5,10.811,,,2016_Feb_19_1707,31.99264154,binobino,1,r311
C:\Users\viola\Desktop\FR_GHM\gavaipemavaipe.wav,R,conj,ni gavaipe ni mavaipe          ni mavaipe ni gavaipe,same,IS,0,34,34,7,,,,,,,2,32.075,,,2016_Feb_19_1707,31.99264154,binobino,1,r311
C:\Users\viola\Desktop\FR_GHM\ganoucteganouc.wav,R,red,ganoucte-ganouc       ganouc-ganoucte,stop,FCN,0,35,35,53,,,,,,,5,5.739,,,2016_Feb_19_1707,31.99264154,binobino,1,r311
C:\Users\viola\Desktop\FR_GHM\padaquepadique.wav,R,red,padaque-padique      padique-padaque,h,VQ,0,36,36,32,,,,,,,6,10.383,,,2016_Feb_19_1707,31.99264154,binobino,1,r311
C:\Users\viola\Desktop\FR_GHM\chavintechavette.wav,R,red,chavinte-chavette      chavette-chavinte,cl,VN,0,37,37,22,,,,,,,1,14.643,,,2016_Feb_19_1707,31.99264154,binobino,1,r311
C:\Users\viola\Desktop\FR_GHM\plamotteplamette.wav,R,conj,ni plamotte ni plamette       ni plamette ni plamotte,a,VQ,0,38,38,39,,,,,,,2,10.79,,,2016_Feb_19_1707,31.99264154,binobino,1,r311
C:\Users\viola\Desktop\FR_GHM\bicafebicafre.wav,L,red,bicafe-bicafre             bicafre-bicafe,fr,FCN,0,39,39,54,,,,,,,2,8.779,,,2016_Feb_19_1707,31.99264154,binobino,1,r311
C:\Users\viola\Desktop\FR_GHM\rataferatalle.wav,L,red,ratafe-ratalle             ratalle-ratafe,same,FS,0,40,40,14,,,,,,,5,14.586,,,2016_Feb_19_1707,31.99264154,binobino,1,r311
C:\Users\viola\Desktop\FR_GHM\pamiquelamique.wav,R,conj,ni pamique ni lamique         ni lamique ni pamique,diff,IS,0,41,41,5,,,,,,,5,10.581,,,2016_Feb_19_1707,31.99264154,binobino,1,r311
C:\Users\viola\Desktop\FR_GHM\vulpontevulpotte.wav,R,conj,ni vulponte ni vulpotte         ni vulpotte ni vulponte,cl,VN,0,42,42,28,,,,,,,2,12.358,,,2016_Feb_19_1707,31.99264154,binobino,1,r311
C:\Users\viola\Desktop\FR_GHM\capaiccapaicte.wav,L,conj,ni capaic ni capaicte          ni capaicte ni capaic,stop,FCN,0,43,43,58,,,,,,,2,8.833,,,2016_Feb_19_1707,31.99264154,binobino,1,r311
C:\Users\viola\Desktop\FR_GHM\talaiquetalaime.wav,L,red,talaique-talaime        talaime-talaique        ,same,FS,0,44,44,12,,,,,,,5,15.105,,,2016_Feb_19_1707,31.99264154,binobino,1,r311
C:\Users\viola\Desktop\FR_GHM\padafepadafre.wav,L,red,padafe-padafre           padafre-padafe  ,fr,FCN,0,45,45,50,,,,,,,2,9.447,,,2016_Feb_19_1707,31.99264154,binobino,1,r311
C:\Users\viola\Desktop\FR_GHM\goudintegoudette.wav,R,red,goudinte-goudette     goudette-goudinte,cl,VN,0,46,46,20,,,,,,,2,9.052,,,2016_Feb_19_1707,31.99264154,binobino,1,r311
C:\Users\viola\Desktop\FR_GHM\chipanechipague.wav,R,red,chipane-chipague     chipague-chipane,same,FS,0,47,47,13,,,,,,,5,16.328,,,2016_Feb_19_1707,31.99264154,binobino,1,r311
C:\Users\viola\Desktop\FR_GHM\coubadecoubaille.wav,L,conj,ni coubade ni coubaille       ni coubaille ni coubade,diff,FS,0,48,48,16,,,,,,,2,10.11,,,2016_Feb_19_1707,31.99264154,binobino,1,r311
C:\Users\viola\Desktop\FR_GHM\rupottetupotte.wav,L,red,rupotte-tupotte          tupotte-rupotte,diff,IS,0,49,49,1,,,,,,,5,8.074,,,2016_Feb_19_1707,31.99264154,binobino,1,r311
C:\Users\viola\Desktop\FR_GHM\sapaiquesapoque.wav,L,conj,ni sapaique ni sapoque       ni sapoque ni sapaique,a,VQ,0,50,50,37,,,,,,,2,26.165,,,2016_Feb_19_1707,31.99264154,binobino,1,r311
