sound,predicted_order,structure,binomials,misc,rule,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials_3.thisRepN,trials_3.thisTrialN,trials_3.thisN,trials_3.thisIndex,key_resp_2.keys,key_resp_2.rt,rating.response,rating.rt,rating_2.response,rating_2.rt,date,frameRate,expName,session,participant
,,,,,,,,,,,,,,space,17.01592588,,,,,2016_Mar_22_1421,31.98859218,binobino,1,r322
C:\Users\viola\Desktop\FR_GHM\calitecalate.wav,L,red,calite-calate             calate-calite,h,VQ,0,0,0,30,,,,,,,4,17.344,,,2016_Mar_22_1421,31.98859218,binobino,1,r322
C:\Users\viola\Desktop\FR_GHM\madetgadet.wav,L,red,madet-gadet            gadet-madet,same,IS,0,1,1,4,,,,,,,2,11.093,,,2016_Mar_22_1421,31.98859218,binobino,1,r322
C:\Users\viola\Desktop\FR_GHM\gonaisgonin.wav,L,red,gonais-gonin             gonin-gonais,op,VN,0,2,2,23,,,,,,,1,11.446,,,2016_Mar_22_1421,31.98859218,binobino,1,r322
C:\Users\viola\Desktop\FR_GHM\coubadecoubaille.wav,L,conj,ni coubade ni coubaille       ni coubaille ni coubade,diff,FS,0,3,3,16,,,,,,,3,11.903,,,2016_Mar_22_1421,31.98859218,binobino,1,r322
C:\Users\viola\Desktop\FR_GHM\tidatidan.wav,L,red,tida-tidan                  tidan-tida,op,VN,0,4,4,21,,,,,,,1,8.345,,,2016_Mar_22_1421,31.98859218,binobino,1,r322
C:\Users\viola\Desktop\FR_GHM\padafepadafre.wav,L,red,padafe-padafre           padafre-padafe  ,fr,FCN,0,5,5,50,,,,,,,1,12.03,,,2016_Mar_22_1421,31.98859218,binobino,1,r322
C:\Users\viola\Desktop\FR_GHM\davaisdavain.wav,L,conj,ni davais ni davain              ni davain ni davais,op,VN,0,6,6,27,,,,,,,1,12.655,,,2016_Mar_22_1421,31.98859218,binobino,1,r322
C:\Users\viola\Desktop\FR_GHM\ganoucteganouc.wav,R,red,ganoucte-ganouc       ganouc-ganoucte,stop,FCN,0,7,7,53,,,,,,,5,10.425,,,2016_Mar_22_1421,31.98859218,binobino,1,r322
C:\Users\viola\Desktop\FR_GHM\ranietteraniotte.wav,L,red,raniette-raniotte        raniotte-raniette,a,VQ,0,8,8,33,,,,,,,3,17.866,,,2016_Mar_22_1421,31.98859218,binobino,1,r322
C:\Users\viola\Desktop\FR_GHM\rataferatalle.wav,L,red,ratafe-ratalle             ratalle-ratafe,same,FS,0,9,9,14,,,,,,,6,21.505,,,2016_Mar_22_1421,31.98859218,binobino,1,r322
C:\Users\viola\Desktop\FR_GHM\capaiccapaicte.wav,L,conj,ni capaic ni capaicte          ni capaicte ni capaic,stop,FCN,0,10,10,58,,,,,,,2,15.747,,,2016_Mar_22_1421,31.98859218,binobino,1,r322
C:\Users\viola\Desktop\FR_GHM\cadaillecadape.wav,R,conj,ni cadaille ni cadape           ni cadape ni cadaille,diff,FS,0,11,11,17,,,,,,,4,12.109,,,2016_Mar_22_1421,31.98859218,binobino,1,r322
C:\Users\viola\Desktop\FR_GHM\chipanechipague.wav,R,red,chipane-chipague     chipague-chipane,same,FS,0,12,12,13,,,,,,,4,15.907,,,2016_Mar_22_1421,31.98859218,binobino,1,r322
C:\Users\viola\Desktop\FR_GHM\ladacladacte.wav,L,conj,ni ladac ni ladacte             ni ladacte ni ladac,stop,FCN,0,13,13,56,,,,,,,2,10.152,,,2016_Mar_22_1421,31.98859218,binobino,1,r322
C:\Users\viola\Desktop\FR_GHM\stolastolan.wav,L,conj,ni stola ni stolan                ni stolan ni stola,op,VN,0,14,14,25,,,,,,,1,9.634,,,2016_Mar_22_1421,31.98859218,binobino,1,r322
C:\Users\viola\Desktop\FR_GHM\brezouillebezouille.wav,R,red,brezouille-bezouille    bezouille-brezouille,nan,ICN,0,15,15,43,,,,,,,3,16.624,,,2016_Mar_22_1421,31.98859218,binobino,1,r322
C:\Users\viola\Desktop\FR_GHM\loubotteloubette.wav,R,red,loubotte-loubette       loubette-loubotte,a,VQ,0,16,16,31,,,,,,,3,9.317,,,2016_Mar_22_1421,31.98859218,binobino,1,r322
C:\Users\viola\Desktop\FR_GHM\chouvetrouvet.wav,R,conj,ni chouvet ni rouvet             ni rouvet ni chouvet,same,IS,0,17,17,9,,,,,,,3,12.769,,,2016_Mar_22_1421,31.98859218,binobino,1,r322
C:\Users\viola\Desktop\FR_GHM\fuglatefuglite.wav,R,conj,ni fuglate ni fuglite               ni fuglite ni fuglate,h,VQ,0,18,18,36,,,,,,,1,10.227,,,2016_Mar_22_1421,31.98859218,binobino,1,r322
C:\Users\viola\Desktop\FR_GHM\plirotpirot.wav,R,conj,ni plirot ni pirot                  ni pirot ni plirot,nan,ICN,0,19,19,47,,,,,,,5,10.455,,,2016_Mar_22_1421,31.98859218,binobino,1,r322
C:\Users\viola\Desktop\FR_GHM\rinoulerinoupe.wav,R,red,rinoule-rinoupe          rinoupe-rinoule,diff,FS,0,20,20,11,,,,,,,2,8.827,,,2016_Mar_22_1421,31.98859218,binobino,1,r322
C:\Users\viola\Desktop\FR_GHM\flitaflitan.wav,L,conj,ni flita ni flitan                    ni flitan ni flita,op,VN,0,21,21,29,,,,,,,3,17.128,,,2016_Mar_22_1421,31.98859218,binobino,1,r322
C:\Users\viola\Desktop\FR_GHM\ridacteridac.wav,R,red,ridacte-ridac              ridac-ridacte,stop,FCN,0,22,22,51,,,,,,,4,11.066,,,2016_Mar_22_1421,31.98859218,binobino,1,r322
C:\Users\viola\Desktop\FR_GHM\taguelague.wav,R,red,taguet-laguet            laguet-taguet,diff,IS,0,23,23,2,,,,,,,1,8.844,,,2016_Mar_22_1421,31.98859218,binobino,1,r322
C:\Users\viola\Desktop\FR_GHM\pamiquelamique.wav,R,conj,ni pamique ni lamique         ni lamique ni pamique,diff,IS,0,24,24,5,,,,,,,1,11.007,,,2016_Mar_22_1421,31.98859218,binobino,1,r322
C:\Users\viola\Desktop\FR_GHM\rouzaperouzaille.wav,L,conj,ni rouzape ni rouzaille         ni rouzaille ni rouzape,diff,FS,0,25,25,18,,,,,,,1,11.291,,,2016_Mar_22_1421,31.98859218,binobino,1,r322
