sound,predicted_order,structure,binomials,misc,rule,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials_3.thisRepN,trials_3.thisTrialN,trials_3.thisN,trials_3.thisIndex,key_resp_2.keys,key_resp_2.rt,rating.response,rating.rt,rating_2.response,rating_2.rt,date,frameRate,expName,session,participant
,,,,,,,,,,,,,,space,9.982705879,,,,,2016_Feb_23_1350,32.0034471,binobino,1,r314
C:\Users\viola\Desktop\FR_GHM\calitecalate.wav,L,red,calite-calate             calate-calite,h,VQ,0,0,0,30,,,,,,,2,11.859,,,2016_Feb_23_1350,32.0034471,binobino,1,r314
C:\Users\viola\Desktop\FR_GHM\tidatidan.wav,L,red,tida-tidan                  tidan-tida,op,VN,0,1,1,21,,,,,,,1,8.401,,,2016_Feb_23_1350,32.0034471,binobino,1,r314
C:\Users\viola\Desktop\FR_GHM\bicafebicafre.wav,L,red,bicafe-bicafre             bicafre-bicafe,fr,FCN,0,2,2,54,,,,,,,3,12.767,,,2016_Feb_23_1350,32.0034471,binobino,1,r314
C:\Users\viola\Desktop\FR_GHM\taguelague.wav,R,red,taguet-laguet            laguet-taguet,diff,IS,0,3,3,2,,,,,,,5,7.842,,,2016_Feb_23_1350,32.0034471,binobino,1,r314
C:\Users\viola\Desktop\FR_GHM\gouvactegouvac.wav,R,conj,ni gouvacte ni gouvac         ni gouvac ni gouvacte,stop,FCN,0,4,4,55,,,,,,,6,10.344,,,2016_Feb_23_1350,32.0034471,binobino,1,r314
C:\Users\viola\Desktop\FR_GHM\ranietteraniotte.wav,L,red,raniette-raniotte        raniotte-raniette,a,VQ,0,5,5,33,,,,,,,2,7.415,,,2016_Feb_23_1350,32.0034471,binobino,1,r314
C:\Users\viola\Desktop\FR_GHM\stolastolan.wav,L,conj,ni stola ni stolan                ni stolan ni stola,op,VN,0,6,6,25,,,,,,,2,10.041,,,2016_Feb_23_1350,32.0034471,binobino,1,r314
C:\Users\viola\Desktop\FR_GHM\loubotteloubette.wav,R,red,loubotte-loubette       loubette-loubotte,a,VQ,0,7,7,31,,,,,,,6,8.854,,,2016_Feb_23_1350,32.0034471,binobino,1,r314
C:\Users\viola\Desktop\FR_GHM\chavintechavette.wav,R,red,chavinte-chavette      chavette-chavinte,cl,VN,0,8,8,22,,,,,,,3,6.239,,,2016_Feb_23_1350,32.0034471,binobino,1,r314
C:\Users\viola\Desktop\FR_GHM\rinoulerinoupe.wav,R,red,rinoule-rinoupe          rinoupe-rinoule,diff,FS,0,9,9,11,,,,,,,1,5.323,,,2016_Feb_23_1350,32.0034471,binobino,1,r314
C:\Users\viola\Desktop\FR_GHM\noupetgoupet.wav,L,red,noupet-goupet          goupet-noupet,same,IS,0,10,10,0,,,,,,,2,9.257,,,2016_Feb_23_1350,32.0034471,binobino,1,r314
C:\Users\viola\Desktop\FR_GHM\salainestalaine.wav,L,red,salaine-stalaine         stalaine-salaine,nan,ICN,0,11,11,42,,,,,,,6,6.484,,,2016_Feb_23_1350,32.0034471,binobino,1,r314
C:\Users\viola\Desktop\FR_GHM\dalaifredalaife.wav,R,conj,ni dalaifre ni dalaife            ni dalaife ni dalaifre,fr,FCN,0,12,12,57,,,,,,,2,12.229,,,2016_Feb_23_1350,32.0034471,binobino,1,r314
C:\Users\viola\Desktop\FR_GHM\plirotpirot.wav,R,conj,ni plirot ni pirot                  ni pirot ni plirot,nan,ICN,0,13,13,47,,,,,,,3,13.057,,,2016_Feb_23_1350,32.0034471,binobino,1,r314
C:\Users\viola\Desktop\FR_GHM\talaiquetalaime.wav,L,red,talaique-talaime        talaime-talaique        ,same,FS,0,14,14,12,,,,,,,3,14.477,,,2016_Feb_23_1350,32.0034471,binobino,1,r314
C:\Users\viola\Desktop\FR_GHM\capaiccapaicte.wav,L,conj,ni capaic ni capaicte          ni capaicte ni capaic,stop,FCN,0,15,15,58,,,,,,,1,8.779,,,2016_Feb_23_1350,32.0034471,binobino,1,r314
C:\Users\viola\Desktop\FR_GHM\fuglatefuglite.wav,R,conj,ni fuglate ni fuglite               ni fuglite ni fuglate,h,VQ,0,16,16,36,,,,,,,4,9.001,,,2016_Feb_23_1350,32.0034471,binobino,1,r314
C:\Users\viola\Desktop\FR_GHM\gonaisgonin.wav,L,red,gonais-gonin             gonin-gonais,op,VN,0,17,17,23,,,,,,,1,4.862,,,2016_Feb_23_1350,32.0034471,binobino,1,r314
C:\Users\viola\Desktop\FR_GHM\rataferatalle.wav,L,red,ratafe-ratalle             ratalle-ratafe,same,FS,0,18,18,14,,,,,,,6,9.692,,,2016_Feb_23_1350,32.0034471,binobino,1,r314
C:\Users\viola\Desktop\FR_GHM\plamotteplamette.wav,R,conj,ni plamotte ni plamette       ni plamette ni plamotte,a,VQ,0,19,19,39,,,,,,,4,6.654,,,2016_Feb_23_1350,32.0034471,binobino,1,r314
C:\Users\viola\Desktop\FR_GHM\chipanechipague.wav,R,red,chipane-chipague     chipague-chipane,same,FS,0,20,20,13,,,,,,,2,8.833,,,2016_Feb_23_1350,32.0034471,binobino,1,r314
C:\Users\viola\Desktop\FR_GHM\chouvetrouvet.wav,R,conj,ni chouvet ni rouvet             ni rouvet ni chouvet,same,IS,0,21,21,9,,,,,,,1,7.177,,,2016_Feb_23_1350,32.0034471,binobino,1,r314
C:\Users\viola\Desktop\FR_GHM\gavaipemavaipe.wav,R,conj,ni gavaipe ni mavaipe          ni mavaipe ni gavaipe,same,IS,0,22,22,7,,,,,,,4,13.492,,,2016_Feb_23_1350,32.0034471,binobino,1,r314
C:\Users\viola\Desktop\FR_GHM\guinotterinotte.wav,R,red,guinotte-rinotte         rinotte-guinotte,diff,IS,0,23,23,3,,,,,,,1,5.919,,,2016_Feb_23_1350,32.0034471,binobino,1,r314
C:\Users\viola\Desktop\FR_GHM\traplintetraplette.wav,R,conj,ni traplinte ni traplette         ni traplette ni traplinte,cl,VN,0,24,24,26,,,,,,,5,4.581,,,2016_Feb_23_1350,32.0034471,binobino,1,r314
C:\Users\viola\Desktop\FR_GHM\vulpontevulpotte.wav,R,conj,ni vulponte ni vulpotte         ni vulpotte ni vulponte,cl,VN,0,25,25,28,,,,,,,2,10.079,,,2016_Feb_23_1350,32.0034471,binobino,1,r314
C:\Users\viola\Desktop\FR_GHM\brezouillebezouille.wav,R,red,brezouille-bezouille    bezouille-brezouille,nan,ICN,0,26,26,43,,,,,,,1,6.833,,,2016_Feb_23_1350,32.0034471,binobino,1,r314
C:\Users\viola\Desktop\FR_GHM\madetgadet.wav,L,red,madet-gadet            gadet-madet,same,IS,0,27,27,4,,,,,,,3,6.957,,,2016_Feb_23_1350,32.0034471,binobino,1,r314
C:\Users\viola\Desktop\FR_GHM\clatifeclatafe.wav,L,red,clatife-clatafe            clatafe-clatife,h,VQ,0,28,28,34,,,,,,,5,6.678,,,2016_Feb_23_1350,32.0034471,binobino,1,r314
C:\Users\viola\Desktop\FR_GHM\clavrercavrer.wav,R,conj,ni clavrer ni cavrer             ni cavrer ni clavrer,nan,ICN,0,29,29,49,,,,,,,5,8.487,,,2016_Feb_23_1350,32.0034471,binobino,1,r314
C:\Users\viola\Desktop\FR_GHM\goudintegoudette.wav,R,red,goudinte-goudette     goudette-goudinte,cl,VN,0,30,30,20,,,,,,,2,10.961,,,2016_Feb_23_1350,32.0034471,binobino,1,r314
C:\Users\viola\Desktop\FR_GHM\davailedavaisse.wav,R,conj,ni davaile ni davaisse          ni davaisse ni davaile,same,FS,0,31,31,15,,,,,,,1,5.961,,,2016_Feb_23_1350,32.0034471,binobino,1,r314
C:\Users\viola\Desktop\FR_GHM\cazibecazille.wav,L,red,cazibe-cazille           cazille-cazibe,diff,FS,0,32,32,10,,,,,,,3,8.88,,,2016_Feb_23_1350,32.0034471,binobino,1,r314
C:\Users\viola\Desktop\FR_GHM\padaquepadique.wav,R,red,padaque-padique      padique-padaque,h,VQ,0,33,33,32,,,,,,,5,4.538,,,2016_Feb_23_1350,32.0034471,binobino,1,r314
C:\Users\viola\Desktop\FR_GHM\tiboufetiboufre.wav,L,red,tiboufe-tiboufre           tiboufre-tiboufe,fr,FCN,0,34,34,52,,,,,,,2,5.404,,,2016_Feb_23_1350,32.0034471,binobino,1,r314
C:\Users\viola\Desktop\FR_GHM\trapiletrapale.wav,L,conj,ni trapile ni trapale              ni trapale ni trapile,h,VQ,0,35,35,38,,,,,,,2,4.525,,,2016_Feb_23_1350,32.0034471,binobino,1,r314
C:\Users\viola\Desktop\FR_GHM\sapaiquesapoque.wav,L,conj,ni sapaique ni sapoque       ni sapoque ni sapaique,a,VQ,0,36,36,37,,,,,,,2,8.197,,,2016_Feb_23_1350,32.0034471,binobino,1,r314
C:\Users\viola\Desktop\FR_GHM\coudincloudin.wav,L,conj,ni coudin ni cloudin           ni cloudin ni coudin,nan,ICN,0,37,37,48,,,,,,,1,5.235,,,2016_Feb_23_1350,32.0034471,binobino,1,r314
C:\Users\viola\Desktop\FR_GHM\trivaipetivaipe.wav,R,conj,ni trivaipe ni tivaipe            ni tivaipe ni trivaipe,nan,ICN,0,38,38,45,,,,,,,5,8.637,,,2016_Feb_23_1350,32.0034471,binobino,1,r314
C:\Users\viola\Desktop\FR_GHM\rupottetupotte.wav,L,red,rupotte-tupotte          tupotte-rupotte,diff,IS,0,39,39,1,,,,,,,2,11.372,,,2016_Feb_23_1350,32.0034471,binobino,1,r314
C:\Users\viola\Desktop\FR_GHM\tuguettruguet.wav,L,red,tuguet-truguet            truguet-tuguet,nan,ICN,0,40,40,44,,,,,,,5,6.192,,,2016_Feb_23_1350,32.0034471,binobino,1,r314
C:\Users\viola\Desktop\FR_GHM\raffotteraffette.wav,R,conj,ni raffotte ni raffette             ni raffette ni raffotte,a,VQ,0,41,41,35,,,,,,,6,11.835,,,2016_Feb_23_1350,32.0034471,binobino,1,r314
C:\Users\viola\Desktop\FR_GHM\rouzaperouzaille.wav,L,conj,ni rouzape ni rouzaille         ni rouzaille ni rouzape,diff,FS,0,42,42,18,,,,,,,5,5.209,,,2016_Feb_23_1350,32.0034471,binobino,1,r314
C:\Users\viola\Desktop\FR_GHM\ranaidecanaide.wav,L,conj,ni ranaide ni canaide           ni canaide ni ranaide,diff,IS,0,43,43,6,,,,,,,2,6.97,,,2016_Feb_23_1350,32.0034471,binobino,1,r314
