sound,predicted_order,structure,binomials,misc,rule,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials_3.thisRepN,trials_3.thisTrialN,trials_3.thisN,trials_3.thisIndex,key_resp_2.keys,key_resp_2.rt,rating.response,rating.rt,rating_2.response,rating_2.rt,date,frameRate,expName,session,participant
,,,,,,,,,,,,,,space,13.81930915,,,,,2016_Feb_16_1400,32.03211054,binobino,1,r306
C:\Users\viola\Desktop\FR_GHM\tilafretilafe.wav,R,conj,ni tilafre ni tilafe                 ni tilafe ni tilafre,fr,FCN,0,0,0,59,,,,,,,5,10.518,,,2016_Feb_16_1400,32.03211054,binobino,1,r306
C:\Users\viola\Desktop\FR_GHM\chipanechipague.wav,R,red,chipane-chipague     chipague-chipane,same,FS,0,1,1,13,,,,,,,2,12.083,,,2016_Feb_16_1400,32.03211054,binobino,1,r306
C:\Users\viola\Desktop\FR_GHM\cazibecazille.wav,L,red,cazibe-cazille           cazille-cazibe,diff,FS,0,2,2,10,,,,,,,4,11.956,,,2016_Feb_16_1400,32.03211054,binobino,1,r306
C:\Users\viola\Desktop\FR_GHM\dalaifredalaife.wav,R,conj,ni dalaifre ni dalaife            ni dalaife ni dalaifre,fr,FCN,0,3,3,57,,,,,,,1,14.469,,,2016_Feb_16_1400,32.03211054,binobino,1,r306
C:\Users\viola\Desktop\FR_GHM\livottedivotte.wav,L,conj,ni livotte ni divotte               ni divotte ni livotte,diff,IS,0,4,4,8,,,,,,,2,12.725,,,2016_Feb_16_1400,32.03211054,binobino,1,r306
C:\Users\viola\Desktop\FR_GHM\goudintegoudette.wav,R,red,goudinte-goudette     goudette-goudinte,cl,VN,0,5,5,20,,,,,,,5,11.449,,,2016_Feb_16_1400,32.03211054,binobino,1,r306
C:\Users\viola\Desktop\FR_GHM\traplintetraplette.wav,R,conj,ni traplinte ni traplette         ni traplette ni traplinte,cl,VN,0,6,6,26,,,,,,,5,13.839,,,2016_Feb_16_1400,32.03211054,binobino,1,r306
C:\Users\viola\Desktop\FR_GHM\taguelague.wav,R,red,taguet-laguet            laguet-taguet,diff,IS,0,7,7,2,,,,,,,1,9.898,,,2016_Feb_16_1400,32.03211054,binobino,1,r306
C:\Users\viola\Desktop\FR_GHM\ranaidecanaide.wav,L,conj,ni ranaide ni canaide           ni canaide ni ranaide,diff,IS,0,8,8,6,,,,,,,1,11.775,,,2016_Feb_16_1400,32.03211054,binobino,1,r306
C:\Users\viola\Desktop\FR_GHM\tiboufetiboufre.wav,L,red,tiboufe-tiboufre           tiboufre-tiboufe,fr,FCN,0,9,9,52,,,,,,,6,10.902,,,2016_Feb_16_1400,32.03211054,binobino,1,r306
C:\Users\viola\Desktop\FR_GHM\bicafebicafre.wav,L,red,bicafe-bicafre             bicafre-bicafe,fr,FCN,0,10,10,54,,,,,,,5,13.392,,,2016_Feb_16_1400,32.03211054,binobino,1,r306
C:\Users\viola\Desktop\FR_GHM\clavrercavrer.wav,R,conj,ni clavrer ni cavrer             ni cavrer ni clavrer,nan,ICN,0,11,11,49,,,,,,,4,12.852,,,2016_Feb_16_1400,32.03211054,binobino,1,r306
C:\Users\viola\Desktop\FR_GHM\stolastolan.wav,L,conj,ni stola ni stolan                ni stolan ni stola,op,VN,0,12,12,25,,,,,,,1,7.997,,,2016_Feb_16_1400,32.03211054,binobino,1,r306
C:\Users\viola\Desktop\FR_GHM\plamotteplamette.wav,R,conj,ni plamotte ni plamette       ni plamette ni plamotte,a,VQ,0,13,13,39,,,,,,,2,11.282,,,2016_Feb_16_1400,32.03211054,binobino,1,r306
C:\Users\viola\Desktop\FR_GHM\gavaipemavaipe.wav,R,conj,ni gavaipe ni mavaipe          ni mavaipe ni gavaipe,same,IS,0,14,14,7,,,,,,,1,8.248,,,2016_Feb_16_1400,32.03211054,binobino,1,r306
C:\Users\viola\Desktop\FR_GHM\davailedavaisse.wav,R,conj,ni davaile ni davaisse          ni davaisse ni davaile,same,FS,0,15,15,15,,,,,,,5,10.082,,,2016_Feb_16_1400,32.03211054,binobino,1,r306
C:\Users\viola\Desktop\FR_GHM\fomaigeflomaige.wav,L,conj,ni fomaige ni flomaige        ni flomaige ni fomaige,nan,ICN,0,16,16,46,,,,,,,3,12.34,,,2016_Feb_16_1400,32.03211054,binobino,1,r306
C:\Users\viola\Desktop\FR_GHM\codellecrodelle.wav,L,red,codelle-crodelle         crodelle-codelle,nan,ICN,0,17,17,40,,,,,,,6,7.839,,,2016_Feb_16_1400,32.03211054,binobino,1,r306
C:\Users\viola\Desktop\FR_GHM\davaisdavain.wav,L,conj,ni davais ni davain              ni davain ni davais,op,VN,0,18,18,27,,,,,,,2,9.228,,,2016_Feb_16_1400,32.03211054,binobino,1,r306
C:\Users\viola\Desktop\FR_GHM\ladacladacte.wav,L,conj,ni ladac ni ladacte             ni ladacte ni ladac,stop,FCN,0,19,19,56,,,,,,,6,11.783,,,2016_Feb_16_1400,32.03211054,binobino,1,r306
C:\Users\viola\Desktop\FR_GHM\rataferatalle.wav,L,red,ratafe-ratalle             ratalle-ratafe,same,FS,0,20,20,14,,,,,,,2,9.609,,,2016_Feb_16_1400,32.03211054,binobino,1,r306
C:\Users\viola\Desktop\FR_GHM\coudincloudin.wav,L,conj,ni coudin ni cloudin           ni cloudin ni coudin,nan,ICN,0,21,21,48,,,,,,,5,11.815,,,2016_Feb_16_1400,32.03211054,binobino,1,r306
C:\Users\viola\Desktop\FR_GHM\tidatidan.wav,L,red,tida-tidan                  tidan-tida,op,VN,0,22,22,21,,,,,,,1,9.253,,,2016_Feb_16_1400,32.03211054,binobino,1,r306
C:\Users\viola\Desktop\FR_GHM\cralontecralotte.wav,R,red,cralonte-cralotte        cralotte-cralonte,cl,VN,0,23,23,24,,,,,,,1,7.861,,,2016_Feb_16_1400,32.03211054,binobino,1,r306
C:\Users\viola\Desktop\FR_GHM\rinoulerinoupe.wav,R,red,rinoule-rinoupe          rinoupe-rinoule,diff,FS,0,24,24,11,,,,,,,2,11.743,,,2016_Feb_16_1400,32.03211054,binobino,1,r306
C:\Users\viola\Desktop\FR_GHM\raffotteraffette.wav,R,conj,ni raffotte ni raffette             ni raffette ni raffotte,a,VQ,0,25,25,35,,,,,,,5,11.619,,,2016_Feb_16_1400,32.03211054,binobino,1,r306
C:\Users\viola\Desktop\FR_GHM\cadaillecadape.wav,R,conj,ni cadaille ni cadape           ni cadape ni cadaille,diff,FS,0,26,26,17,,,,,,,6,10.015,,,2016_Feb_16_1400,32.03211054,binobino,1,r306
C:\Users\viola\Desktop\FR_GHM\capaiccapaicte.wav,L,conj,ni capaic ni capaicte          ni capaicte ni capaic,stop,FCN,0,27,27,58,,,,,,,2,10.023,,,2016_Feb_16_1400,32.03211054,binobino,1,r306
C:\Users\viola\Desktop\FR_GHM\flitaflitan.wav,L,conj,ni flita ni flitan                    ni flitan ni flita,op,VN,0,28,28,29,,,,,,,1,7.744,,,2016_Feb_16_1400,32.03211054,binobino,1,r306
C:\Users\viola\Desktop\FR_GHM\ridacteridac.wav,R,red,ridacte-ridac              ridac-ridacte,stop,FCN,0,29,29,51,,,,,,,1,10.099,,,2016_Feb_16_1400,32.03211054,binobino,1,r306
C:\Users\viola\Desktop\FR_GHM\coubadecoubaille.wav,L,conj,ni coubade ni coubaille       ni coubaille ni coubade,diff,FS,0,30,30,16,,,,,,,1,10.484,,,2016_Feb_16_1400,32.03211054,binobino,1,r306
C:\Users\viola\Desktop\FR_GHM\trivaipetivaipe.wav,R,conj,ni trivaipe ni tivaipe            ni tivaipe ni trivaipe,nan,ICN,0,31,31,45,,,,,,,4,12.432,,,2016_Feb_16_1400,32.03211054,binobino,1,r306
C:\Users\viola\Desktop\FR_GHM\brezouillebezouille.wav,R,red,brezouille-bezouille    bezouille-brezouille,nan,ICN,0,32,32,43,,,,,,,1,6.404,,,2016_Feb_16_1400,32.03211054,binobino,1,r306
C:\Users\viola\Desktop\FR_GHM\trapiletrapale.wav,L,conj,ni trapile ni trapale              ni trapale ni trapile,h,VQ,0,33,33,38,,,,,,,2,9.516,,,2016_Feb_16_1400,32.03211054,binobino,1,r306
C:\Users\viola\Desktop\FR_GHM\rupottetupotte.wav,L,red,rupotte-tupotte          tupotte-rupotte,diff,IS,0,34,34,1,,,,,,,2,5.73,,,2016_Feb_16_1400,32.03211054,binobino,1,r306
C:\Users\viola\Desktop\FR_GHM\loubotteloubette.wav,R,red,loubotte-loubette       loubette-loubotte,a,VQ,0,35,35,31,,,,,,,2,6.34,,,2016_Feb_16_1400,32.03211054,binobino,1,r306
