sound,predicted_order,structure,binomials,misc,rule,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials_3.thisRepN,trials_3.thisTrialN,trials_3.thisN,trials_3.thisIndex,key_resp_2.keys,key_resp_2.rt,rating.response,rating.rt,rating_2.response,rating_2.rt,date,frameRate,expName,session,participant
,,,,,,,,,,,,,,space,21.64530454,,,,,2016_Feb_26_1405,31.97711315,binobino,1,r317
C:\Users\viola\Desktop\FR_GHM\vulpontevulpotte.wav,R,conj,ni vulponte ni vulpotte         ni vulpotte ni vulponte,cl,VN,0,0,0,28,,,,,,,4,20.367,,,2016_Feb_26_1405,31.97711315,binobino,1,r317
C:\Users\viola\Desktop\FR_GHM\clatifeclatafe.wav,L,red,clatife-clatafe            clatafe-clatife,h,VQ,0,1,1,34,,,,,,,2,7.785,,,2016_Feb_26_1405,31.97711315,binobino,1,r317
C:\Users\viola\Desktop\FR_GHM\coubadecoubaille.wav,L,conj,ni coubade ni coubaille       ni coubaille ni coubade,diff,FS,0,2,2,16,,,,,,,2,11.538,,,2016_Feb_26_1405,31.97711315,binobino,1,r317
C:\Users\viola\Desktop\FR_GHM\brezouillebezouille.wav,R,red,brezouille-bezouille    bezouille-brezouille,nan,ICN,0,3,3,43,,,,,,,4,35.068,,,2016_Feb_26_1405,31.97711315,binobino,1,r317
C:\Users\viola\Desktop\FR_GHM\talaiquetalaime.wav,L,red,talaique-talaime        talaime-talaique        ,same,FS,0,4,4,12,,,,,,,4,7.675,,,2016_Feb_26_1405,31.97711315,binobino,1,r317
C:\Users\viola\Desktop\FR_GHM\plirotpirot.wav,R,conj,ni plirot ni pirot                  ni pirot ni plirot,nan,ICN,0,5,5,47,,,,,,,6,8.604,,,2016_Feb_26_1405,31.97711315,binobino,1,r317
C:\Users\viola\Desktop\FR_GHM\taguelague.wav,R,red,taguet-laguet            laguet-taguet,diff,IS,0,6,6,2,,,,,,,3,11.643,,,2016_Feb_26_1405,31.97711315,binobino,1,r317
C:\Users\viola\Desktop\FR_GHM\stolastolan.wav,L,conj,ni stola ni stolan                ni stolan ni stola,op,VN,0,7,7,25,,,,,,,3,21.875,,,2016_Feb_26_1405,31.97711315,binobino,1,r317
C:\Users\viola\Desktop\FR_GHM\pamiquelamique.wav,R,conj,ni pamique ni lamique         ni lamique ni pamique,diff,IS,0,8,8,5,,,,,,,2,6.482,,,2016_Feb_26_1405,31.97711315,binobino,1,r317
C:\Users\viola\Desktop\FR_GHM\codellecrodelle.wav,L,red,codelle-crodelle         crodelle-codelle,nan,ICN,0,9,9,40,,,,,,,2,8.398,,,2016_Feb_26_1405,31.97711315,binobino,1,r317
