sound,predicted_order,structure,binomials,misc,rule,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials_3.thisRepN,trials_3.thisTrialN,trials_3.thisN,trials_3.thisIndex,key_resp_2.keys,key_resp_2.rt,rating.response,rating.rt,rating_2.response,rating_2.rt,date,frameRate,expName,session,participant
,,,,,,,,,,,,,,space,12.584701,,,,,2016_Feb_23_0915,32.26604875,binobino,1,r313
C:\Users\viola\Desktop\FR_GHM\goudintegoudette.wav,R,red,goudinte-goudette     goudette-goudinte,cl,VN,0,0,0,20,,,,,,,2,9.041,,,2016_Feb_23_0915,32.26604875,binobino,1,r313
C:\Users\viola\Desktop\FR_GHM\traplintetraplette.wav,R,conj,ni traplinte ni traplette         ni traplette ni traplinte,cl,VN,0,1,1,26,,,,,,,3,14.83,,,2016_Feb_23_0915,32.26604875,binobino,1,r313
C:\Users\viola\Desktop\FR_GHM\rupottetupotte.wav,L,red,rupotte-tupotte          tupotte-rupotte,diff,IS,0,2,2,1,,,,,,,5,7.676,,,2016_Feb_23_0915,32.26604875,binobino,1,r313
C:\Users\viola\Desktop\FR_GHM\fomaigeflomaige.wav,L,conj,ni fomaige ni flomaige        ni flomaige ni fomaige,nan,ICN,0,3,3,46,,,,,,,6,8.777,,,2016_Feb_23_0915,32.26604875,binobino,1,r313
C:\Users\viola\Desktop\FR_GHM\gavaipemavaipe.wav,R,conj,ni gavaipe ni mavaipe          ni mavaipe ni gavaipe,same,IS,0,4,4,7,,,,,,,4,16.036,,,2016_Feb_23_0915,32.26604875,binobino,1,r313
C:\Users\viola\Desktop\FR_GHM\brezouillebezouille.wav,R,red,brezouille-bezouille    bezouille-brezouille,nan,ICN,0,5,5,43,,,,,,,5,8.751,,,2016_Feb_23_0915,32.26604875,binobino,1,r313
C:\Users\viola\Desktop\FR_GHM\davailedavaisse.wav,R,conj,ni davaile ni davaisse          ni davaisse ni davaile,same,FS,0,6,6,15,,,,,,,2,10.822,,,2016_Feb_23_0915,32.26604875,binobino,1,r313
C:\Users\viola\Desktop\FR_GHM\guinotterinotte.wav,R,red,guinotte-rinotte         rinotte-guinotte,diff,IS,0,7,7,3,,,,,,,2,19.702,,,2016_Feb_23_0915,32.26604875,binobino,1,r313
C:\Users\viola\Desktop\FR_GHM\madetgadet.wav,L,red,madet-gadet            gadet-madet,same,IS,0,8,8,4,,,,,,,1,6.522,,,2016_Feb_23_0915,32.26604875,binobino,1,r313
C:\Users\viola\Desktop\FR_GHM\tipametipague.wav,R,conj,ni tipame ni tipague            ni tipague ni tipame,same,FS,0,9,9,19,,,,,,,5,11.755,,,2016_Feb_23_0915,32.26604875,binobino,1,r313
C:\Users\viola\Desktop\FR_GHM\taguelague.wav,R,red,taguet-laguet            laguet-taguet,diff,IS,0,10,10,2,,,,,,,5,11.094,,,2016_Feb_23_0915,32.26604875,binobino,1,r313
